HändelseID,Individ,Fynddatum,Undersökt,Undersökt datum,Anmält till,Datum mottaget,Skada på,Ange vad som skadats,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Skadeorsak,Skadeorsak art,Ange skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (original),Öst (original),Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Visa publikt,Uppgifterna tillgängliga från,Låst,Låst datum,Senast sparad datum,Senast sparad av,Döda under 1 år Hona,Döda under 1 år Hane,Döda under 1 år Okänt,Döda 1 till 2 år Hona,Döda 1 till 2 år Hane,Döda 1 till 2 år Okänt,Döda över 2 år Hona,Döda över 2 år Hane,Döda över 2 år Okänt,Döda körren,Skadade under 1 år Hona,Skadade under 1 år Hane,Skadade under 1 år Okänt,Skadade 1 till 2 år Hona,Skadade 1 till 2 år Hane,Skadade 1 till 2 år Okänt,Skadade över 2 år Hona,Skadade över 2 år Hane,Skadade över 2 år Okänt,Skadade körren,Saknade under 1 år Hona,Saknade under 1 år Hane,Saknade under 1 år Okänt,Saknade 1 till 2 år Hona,Saknade 1 till 2 år Hane,Saknade 1 till 2 år Okänt,Saknade över 2 år Hona,Saknade över 2 år Hane,Saknade över 2 år Okänt,Saknade körren,Skadeomfattning antal (inte djur),Akutåtgärder vidtagna,Akutåtgärdtyp,Akutåtgärdtyp annat,Kommunenummer,Kommune,Fylkenummer,Fylke,Number of injured or killed or missing sheep,Year
V500318,UI413930 G200-19 +,2020.07.23,Ja,2020.07.23,,,Får,,,,2020.07.22,2020.07.23,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0617,,6358072,419363,6358072,419363,6361228,1370876,SWEREF99 TM,Mindre bra,2020.07.23,Nej,,Nej,,2020.10.28,Linda Andersson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0617,Gnosjö (S),2-06,Jönköpings län (S),4,2020
V500438,,2020.07.25,Ja,2020.07.25,,,Får,,Texel,,2020.07.25,2020.07.25,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-2121,Gäddvik,6804865,561962,6804865,561962,6806459,1518940,WGS84-UTM Zon 33,Mindre bra,2020.07.27,Nej,,Nej,,2020.07.27,Hans Blomgren,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-2121,Ovanåker (S),2-21,Gävleborgs län (S),1,2020
V500468,,2020.07.25,Ja,2020.07.27,,,Får,,Annan,Gutefår,2020.07.24,2020.07.25,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-1452,Lövåsen,6363405,409255,6363405,409255,6366683,1360827,WGS84-UTM Zon 33,Mindre bra,2020.07.28,Nej,,Nej,,2020.08.31,Nelly Grönberg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1452,Tranemo (S),2-14,Västra Götalands län (S),1,2020
V500448,,2020.07.27,Ja,2020.07.27,,,Får,,,,2020.07.27,2020.07.27,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-1864,,6631902,1458337,6629647,503527,6631902,1458337,RT90,Mindre bra,2020.07.27,Nej,,Nej,,2020.10.02,Emma Schön Kvastegård,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1864,Ljusnarsberg (S),2-18,Örebro län (S),1,2020
V500482,,2020.07.28,Ja,2020.07.28,,,Får,,Annan,Hälsinge Får,2020.07.28,2020.07.28,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0662,,6365246,411446,6365246,411446,6368499,1363041,SWEREF99 TM,Mycket bra,2020.07.28,Nej,,Nej,,2020.08.26,Bo Adolfsson,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0662,Gislaved (S),2-06,Jönköpings län (S),2,2020
V500634,UI414000 G230-19 +,2020.07.31,Ja,2020.07.31,,,Får,,Allmogefår,,2020.07.31,2020.07.31,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-2101,Lingbo,6770357,1548940,6769148,592395,6770357,1548940,RT90,Mindre bra,2020.08.04,Nej,,Nej,,2022.04.04,Henrike Hensel,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-2101,Ockelbo (S),2-21,Gävleborgs län (S),5,2020
V500623,UI413884 G166-19,2020.08.02,Ja,2020.08.03,,,Får,,Köttraskorsningar,,2020.08.01,2020.08.02,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-1766,Domarsätter,6651106,1355020,6647583,400034,6651106,1355020,RT90,Mindre bra,2020.08.03,Nej,,Nej,,2020.08.04,Elisabeth Hansson,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-1766,Sunne (S),2-17,Värmlands län (S),11,2020
V500984,,2020.08.05,Ja,2020.08.06,,,Får,,Gotlandsfår,,2020.08.04,2020.08.05,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0181,Nådhammar,6544857,1593689,6544278,639876,6544857,1593689,RT90,Mycket bra,2020.08.18,Nej,,Nej,,2020.08.24,Mikael Fransson,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0181,Södertälje (S),2-01,Stockholms län (S),5,2020
V500868,,2020.08.06,Ja,2020.08.06,,,Får,,,,2020.08.05,2020.08.06,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0380,Östfora ,6653212,627876,6653212,627876,6653959,1583009,SWEREF99 TM,Mindre bra,,Nej,,Nej,,2020.08.13,Mikael Larsson,5,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0380,Uppsala (S),2-03,Uppsala län (S),9,2020
V500746,,2020.08.07,Ja,2020.08.07,,,Får,,,,2020.08.06,2020.08.07,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0662,,6362628,412048,6362628,412048,6365873,1363612,SWEREF99 TM,Exakt,2020.08.07,Nej,,Nej,,2020.10.15,Bo Adolfsson,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Historiska data - ej angivet,,,2-0662,Gislaved (S),2-06,Jönköpings län (S),8,2020
V501007,,2020.08.13,Ja,2020.08.13,,,Får,,,,2020.08.12,2020.08.13,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0665,"Sanden, Klevshult",6358392,444445,6358392,444445,6361250,1395973,SWEREF99 TM,Mindre bra,2020.08.19,Nej,,Nej,,2021.03.30,Peter Jaxgård,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0665,Vaggeryd (S),2-06,Jönköpings län (S),1,2020
V500956,,2020.08.16,Ja,2020.08.16,,,Får,,,,2020.08.15,2020.08.16,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0617,,6354937,423737,6354937,423737,6358039,1375215,SWEREF99 TM,Mycket bra,2020.08.16,Nej,,Nej,,2020.09.18,Linda Andersson,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0617,Gnosjö (S),2-06,Jönköpings län (S),3,2020
V501004,,2020.08.18,Ja,2020.08.18,,,Får,,,,2020.08.16,2020.08.18,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0684,"Hylletofta, Ruggarp",6369276,469269,6369276,469269,6371844,1420937,SWEREF99 TM,Mycket bra,2020.08.19,Nej,,Nej,,2020.09.08,Anders Gunnarsson,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0684,Sävsjö (S),2-06,Jönköpings län (S),5,2020
V501107,UI414084 G9-20 V964 +,2020.08.22,Ja,2020.08.22,,,Får,,,,2020.08.21,2020.08.22,Nej,Fredat vilt,Varg,,Bete innanför stängsel,Fältkontroll - LST,Dokumenterad,2-0665,,6364753,436631,6364753,436631,6367707,1388231,SWEREF99 TM,Mycket bra,2020.08.23,Nej,,Nej,,2020.10.28,Linda Andersson,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Historiska data - ej angivet,,,2-0665,Vaggeryd (S),2-06,Jönköpings län (S),7,2020
