id_unique,pop_size_territories,both_disapp,population_analysis,territory_analysis,individual_analysis,fate,fate_detailed,wolf_id,sex,country,territory,territory_winter,Y_coordinate,X_coordinate,autumn,spring,slu_id,ruggedness,paved,gravel,snow_cover,human_density,municipality_name,municipality_id,moose_harvest_density,bear_density_shot,bear_density_live,night_light,elevation_mean,elevation_stdv,birth_territory,inbreeding,number_neighbour_terr
38,64,,,,,alive,,M-09-17,M,S,Acksjön,Acksjön_1213,6688162,1380151,2012,2013,M-09-17,5.0251,0.25,0.95,82.57828283,5.04,Torsby,1737,3.4414,0.0001,0.0225,0.1941,314.5977417,74.45657583,Fur,0.1875,3
39,66,,,,,other,natural,G10-06,F,S,Acksjön,Acksjön_1314,6688162,1380151,2013,2014,G10-06,5.0251,0.25,0.95,76.01767677,5.06,Torsby,1737,3.0808,0.0004,0.1382,0.1941,314.5977417,74.45657583,Hlg1,0.23877000000000001,5
40,66,,,,,other,natural,M-09-17,M,S,Acksjön,Acksjön_1314,6688162,1380151,2013,2014,M-09-17,5.0251,0.25,0.95,76.01767677,5.06,Torsby,1737,3.0808,0.0004,0.1382,0.1941,314.5977417,74.45657583,Fur,0.1875,5
41,83,,,0,0,alive,,G108-21,M,S,Älgmossen,Älgmossen_2122,6572291.7,1546590.276,2021,2022,,2.9976,0.52,1.65,47.08205128,69.55,Flen,482,1.4,0,0,2.3862,51.83024204,21.95634515,Sju4,0.185781,3
42,83,,,,0,alive,,G233-19,F,S,Älgmossen,Älgmossen_2122,6572291.7,1546590.276,2021,2022,,2.9976,0.52,1.65,47.08205128,69.55,Flen,482,1.4,0,0,2.3862,51.83024204,21.95634515,Ärl2,0.39373599999999997,3
43,85,,1,1,1,disapp,,G108-21,M,S,Älgmossen,Älgmossen_2223,6572594,1546521,2022,2023,,2.9813,0.51,1.65,61.57230769,70.4,Flen,482,1.2,0,0,2.4378,51.42801853,22.11079757,Sju4,0.185781,6
44,85,,,,2,censored,,G233-19,F,S,Älgmossen,Älgmossen_2223,6572594,1546521,2022,2023,,2.9813,0.51,1.65,61.57230769,70.4,Flen,482,1.2,0,0,2.4378,51.42801853,22.11079757,Ärl2,0.39373599999999997,6
45,71,,,,1,disapp,,G181-19,M,S,Älgsjön,Älgsjön_1920,6637985,1392558,2019,2020,G181-19,5.2636,0.25,1.13,56.24102564,12.79,Munkfors,1762,2.6,0,0.0023,0.0435,251.6225467,57.34873495,Gård6,0.13404099999999999,2
46,71,,1,1,1,disapp,,G205-19,F,S,Älgsjön,Älgsjön_1920,6637985,1392558,2019,2020,G205-19,5.2636,0.25,1.13,56.24102564,12.79,Munkfors,1762,2.6,0,0.0023,0.0435,251.6225467,57.34873495,Bratt3,0.267822,2
47,83,,,,0,alive,,G85-22,M,S,Almhöjden 1,Almhöjden_2122,6634514.115,1470745.166,2021,2022,,4.1893,0.36,1.32,75.36069652,13.38,Ljusnarsberg,1864,2.0361,0,0.0018,0.4238,217.2398249,66.95246323,Asp3,0.233486,6
48,83,,,0,0,alive,,G161-21,F,S,Almhöjden 1,Almhöjden_2122,6634514.115,1470745.166,2021,2022,,4.1893,0.36,1.32,75.36069652,13.38,Ljusnarsberg,1864,2.0361,0,0.0018,0.4238,217.2398249,66.95246323,Hsj1,0.23424400000000001,6
49,85,,,,0,alive,,G85-22,M,S,Almhöjden 1,Almhöjden_2223,6641451,1479688,2022,2023,,4.3469,0.33,1.28,86.503125,12.28,Ljusnarsberg,1864,1.737,0.0001,0.0229,0.4218,219.6793368,61.46009364,Asp3,0.233486,5
50,85,,1,1,1,disapp,,G161-21,F,S,Almhöjden 1,Almhöjden_2223,6641451,1479688,2022,2023,,4.3469,0.33,1.28,86.503125,12.28,Ljusnarsberg,1864,1.737,0.0001,0.0229,0.4218,219.6793368,61.46009364,Hsj1,0.23424400000000001,5
51,66,,,,,alive,,G141-12,M,S,Åmot,Åmot_1314,6757275,1542221,2013,2014,G141-12,2.5887,0.18,1.38,68.99047619,7.21,Falun,2080,3,0.0016,0.5748,1.0859,181.6833364,76.36852062,Sle,0.30688500000000002,3
