kommun;kommun original;age;metric;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
HerøyMøreogRomsdal;1515 Herøy (Møre og Romsdal);All ages;Average Gross income;223000;243000;255100;264700;273100;282300;341900;300500;330800;357100;355800;373600;403300;404500;416100;434000;456900;445700;448000;483700;491000;506500;549800;550500;613200
HerøyNordland;1818 Herøy (Nordland);All ages;Average Gross income;204600;221900;211800;215800;229300;225700;254200;247100;264700;286400;290900;306400;322600;329700;342900;359300;379500;387300;421000;432500;446700;455300;502100;495200;536500
Hisøy;0922 Hisøy (-1991);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hitra;5013 Hitra (2018-2019);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;424900;444000;0;0;0;0
Hitra;5056 Hitra;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;461600;494700;508300;538000
Hitra;1617 Hitra (-2017);All ages;Average Gross income;178200;195500;203200;212300;220300;226900;245300;248100;267400;289400;295300;306900;324800;335100;348600;365100;391100;389300;402100;0;0;0;0;0;0
Hjartdal;3819 Hjartdal (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;460300;498000;508700;519800
Hjartdal;4024 Hjartdal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hjartdal;0827 Hjartdal (-2019);All ages;Average Gross income;177700;186800;200400;220200;233400;226200;264700;249000;268600;289400;295800;313100;325000;339100;360100;371400;389000;397100;409900;425800;443700;0;0;0;0
Hjelmeland;1133 Hjelmeland;All ages;Average Gross income;205300;215000;227100;235400;240900;279900;279800;281700;314700;340700;335400;350700;371700;390000;415200;437900;448800;446600;451300;461300;482700;501600;525500;550300;589500
Hobøl;0138 Hobøl (-2019);All ages;Average Gross income;221900;233000;247900;261500;274500;279000;287300;287400;307700;334400;326300;336800;355100;365600;376100;388800;405800;409700;428000;439400;459900;0;0;0;0
Hof;0714 Hof (-2017);All ages;Average Gross income;200300;212200;227200;241100;246800;262600;263800;271700;291900;320300;323100;340000;361800;394000;383300;395700;409700;411900;424100;0;0;0;0;0;0
Hol;3044 Hol (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;499100;567800;577300;595900
Hol;0620 Hol (-2019);All ages;Average Gross income;203800;222300;237000;250100;258800;286800;370400;286800;316800;327700;326400;335800;355600;370100;384100;399900;419300;420300;430800;464600;481100;0;0;0;0
Hol;3330 Hol;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hole;3038 Hole (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;553100;617600;599300;647900
Hole;0612 Hole (1977-2019);All ages;Average Gross income;284900;316100;318100;353100;357200;365500;656800;332400;359500;383000;390900;396600;414600;419400;443200;462600;480700;505600;503500;540000;551600;0;0;0;0
Hole;3310 Hole;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Holmestrand;3802 Holmestrand (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;481700;522000;537300;563200
Holmestrand;3903 Holmestrand;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Holmestrand;0702 Holmestrand (-2017);All ages;Average Gross income;209600;222000;232400;249100;254100;258100;272300;278000;303300;325700;326300;337100;358300;369000;384100;397200;412400;420700;438000;0;0;0;0;0;0
Holmestrand;0715 Holmestrand (2018-2019);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;441700;455200;0;0;0;0
Holtålen;5026 Holtålen;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;388400;413900;424300;450000;467000;490400
Holtålen;1644 Holtålen (1972-2017);All ages;Average Gross income;167800;180900;190700;207100;210000;221300;232100;241500;261500;279800;281100;296400;312100;329300;345100;351500;360700;367800;373400;0;0;0;0;0;0
Hopennaturereserve;2131 Hopen naturereserve;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hornindal;1444 Hornindal (-2019);All ages;Average Gross income;176900;191100;199200;211600;209700;224800;233400;240500;260600;280600;279300;295700;313600;335300;345300;357400;364200;372200;384600;396700;412700;0;0;0;0
Horten;3801 Horten (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443300;477600;499100;527600
Horten;3901 Horten;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Horten;0701 Horten (2002-2019);All ages;Average Gross income;216200;228900;238100;251400;258100;262700;284900;283100;305000;327500;325600;334100;346500;363900;372800;381200;400400;402500;404600;418400;432800;0;0;0;0
Horten;0703 Horten (-1987);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Høyanger;4638 Høyanger;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;448700;484900;501300;537100
Høyanger;1416 Høyanger (1964-2019);All ages;Average Gross income;213800;226400;234500;244600;249400;254300;262600;272800;298100;313400;321800;328400;344600;361100;375500;384800;388000;384100;398300;424700;441600;0;0;0;0
Høylandet;5046 Høylandet;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407900;430300;436500;461200;462100;485000
Høylandet;1743 Høylandet (-2017);All ages;Average Gross income;173400;183200;191200;204800;202600;220000;235400;248100;269700;288400;294600;311900;333800;366900;366100;372200;405800;405100;401600;0;0;0;0;0;0
Hurdal;3242 Hurdal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hurdal;3037 Hurdal (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427900;455800;476500;490000
Hurdal;0239 Hurdal (-2019);All ages;Average Gross income;192100;201700;217300;230300;231600;237700;246700;251900;275400;291100;297500;307800;321300;335900;353200;357100;383800;369500;378500;419600;427900;0;0;0;0
Hurum;0628 Hurum (-2019);All ages;Average Gross income;221100;235600;243800;258500;265800;274100;291700;295200;321300;346400;345700;354600;373200;387500;403800;412000;422800;427100;433400;449800;468500;0;0;0;0
Hustadvika;1579 Hustadvika;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;473900;499200;523200;547700
Hvaler;3110 Hvaler;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hvaler;3011 Hvaler (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;506700;547100;545800;575500
Hvaler;0111 Hvaler (-2019);All ages;Average Gross income;199700;217400;228100;243200;248800;258700;295900;274700;304300;329900;341600;342100;365900;384800;418200;415800;434400;442300;460000;471100;498000;0;0;0;0
Hyllestad;4637 Hyllestad;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433700;483600;462800;490800
Hyllestad;1413 Hyllestad (-2019);All ages;Average Gross income;184600;195900;198500;225200;216000;214800;234000;240500;270200;297500;298500;305700;323600;344600;361700;375600;386300;375300;372900;391100;416100;0;0;0;0
Ibestad;5514 Ibestad;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ibestad;5413 Ibestad (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;411500;482400;484000;509800
Ibestad;1917 Ibestad (-2019);All ages;Average Gross income;162700;174300;185400;199200;208800;207800;227500;224300;240300;256800;267200;279300;299200;316300;346800;344600;362300;374300;393600;390000;414100;0;0;0;0
Idd;0117 Idd (-1966);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Inderøy;5053 Inderøy;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;413800;436100;451000;500200;500800;533000
Inderøy;1729 Inderøy (-2011);All ages;Average Gross income;181000;192700;204900;220200;227900;236100;255600;253300;280600;297100;303400;316400;0;0;0;0;0;0;0;0;0;0;0;0;0
Inderøy;1756 Inderøy (2012-2017);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;327800;347000;358900;375000;390900;394600;409600;0;0;0;0;0;0
IndreFosen;5054 Indre Fosen;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;405600;421300;427300;458200;467700;496900
IndreØstfold;3118 Indre Østfold;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IndreØstfold;3014 Indre Østfold (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451100;505200;497000;521400
Iveland;4218 Iveland;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;425000;445000;471800;485900
Iveland;0935 Iveland (-2019);All ages;Average Gross income;178000;183900;194400;205800;215300;219300;235500;249400;280500;298200;303900;303300;322800;336400;342600;354600;370200;374700;381800;402300;411100;0;0;0;0
JanMayen;2211 Jan Mayen;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jevnaker;3236 Jevnaker;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jevnaker;3053 Jevnaker (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;454700;490000;504000;531000
Jevnaker;0532 Jevnaker (-2019);All ages;Average Gross income;201400;211000;221300;238100;245200;249100;263100;266300;293200;309000;312000;327200;337000;349400;361100;368700;388100;396400;413700;422800;439500;0;0;0;0
Jølster;1431 Jølster (-2019);All ages;Average Gross income;191800;210600;210200;225700;227400;236900;256100;262500;283700;308800;320100;325500;346400;350700;365300;385300;398600;394800;415000;440200;467700;0;0;0;0
Jondal;1227 Jondal (-2019);All ages;Average Gross income;185800;199700;208400;222400;219800;224600;261400;257100;280700;300500;307100;323800;329000;342500;356800;366500;381000;385000;400500;421600;443200;0;0;0;0
KárásjohkaKarasjok;5610 Kárásjohka - Karasjok;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KárásjohkaKarasjok;5437 Kárásjohka - Karasjok (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;425300;452500;472700;496400
KárásjohkaKarasjok;2021 Kárásjohka - Karasjok (-2019);All ages;Average Gross income;181700;188200;193300;207600;214400;218500;226000;236900;252700;273800;281600;294400;307600;319100;330800;339400;351800;366000;370400;388000;414000;0;0;0;0
Karlsøy;5534 Karlsøy;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Karlsøy;5423 Karlsøy (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431600;468700;485200;515600
Karlsøy;1936 Karlsøy (-2019);All ages;Average Gross income;188900;197300;205700;215400;210900;218300;229700;242300;258000;281700;287300;299000;318300;330100;335900;352000;371400;380200;403000;405400;424300;0;0;0;0
Karmøy;1149 Karmøy;All ages;Average Gross income;208100;218300;228500;246600;254200;260200;286100;283000;316900;338900;342900;351200;367500;382100;401000;410900;424800;420500;429200;445900;464500;475200;515900;531100;566000
Kinn;4602 Kinn;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;489400;527700;532700;574500
Klæbu;5030 Klæbu (2018-2019);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;446500;461700;0;0;0;0
Klæbu;1662 Klæbu (-2017);All ages;Average Gross income;211700;228400;234200;245600;255500;259700;280400;282400;306600;325200;327900;341100;361100;375200;391800;401600;420200;420100;430900;0;0;0;0;0;0
Klepp;1120 Klepp;All ages;Average Gross income;229400;240600;249700;269100;280200;282100;319500;311800;351700;371000;369000;384300;402000;428300;447700;460500;474700;454300;459900;476400;497000;509000;549500;559200;598700
Kongsberg;3006 Kongsberg (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;510100;551600;549800;585300
Kongsberg;0604 Kongsberg (-2019);All ages;Average Gross income;234000;249100;278700;273400;285700;288600;316100;311100;338900;365500;370500;390900;406100;425100;441700;451600;467700;458700;467700;481100;496000;0;0;0;0
Kongsberg;3303 Kongsberg;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kongsvinger;3401 Kongsvinger;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439400;487300;485200;516000
Kongsvinger;0402 Kongsvinger (-2019);All ages;Average Gross income;195400;208800;232000;238600;241800;252300;265700;252200;275800;296600;299600;310600;324600;336500;348000;358500;381500;393300;396100;415900;430900;0;0;0;0
Kragerø;3814 Kragerø (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;434700;463800;489300;513700
Kragerø;4014 Kragerø;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kragerø;0815 Kragerø (1960-2019);All ages;Average Gross income;185400;200500;213000;223800;227600;233900;252200;253500;280900;301600;300100;309000;322700;339500;349100;362200;376400;380900;394400;407200;423200;0;0;0;0
Kråkerøy;0133 Kråkerøy (1908-1993);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kristiansand;4204 Kristiansand;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;459900;503500;508900;541000
Kristiansand;1001 Kristiansand (-2019);All ages;Average Gross income;215500;231600;236200;253800;266200;277200;319000;288300;318500;343700;347200;353800;368500;381100;395800;408300;427200;418900;428300;431600;449500;0;0;0;0
Kristiansund;1503 Kristiansund  (-2007);All ages;Average Gross income;201700;212700;223400;238000;249000;248800;271800;276000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kristiansund;1505 Kristiansund;All ages;Average Gross income;0;0;0;0;0;0;0;0;305900;331600;337500;347100;367800;381000;400900;410900;422200;418300;422900;438100;459500;467600;504500;518300;547800
Krødsherad;3046 Krødsherad (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500000;602600;524200;549800
Krødsherad;0622 Krødsherad (-2019);All ages;Average Gross income;198800;210300;218800;240300;259600;279100;323000;264800;293600;312300;307700;331700;346100;363600;380100;394000;425800;424400;437700;459600;474400;0;0;0;0
Krødsherad;3318 Krødsherad;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kvæfjord;5510 Kvæfjord;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kvæfjord;5411 Kvæfjord (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427000;449700;465400;489000
Kvæfjord;1911 Kvæfjord (-2019);All ages;Average Gross income;178100;188600;201300;217800;220000;227800;234700;248600;266100;282700;287600;294700;312800;324000;331700;338900;350400;366300;379600;391700;412800;0;0;0;0
Kvænangen;5546 Kvænangen;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kvænangen;5429 Kvænangen (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;407500;432000;457200;463700
Kvænangen;1943 Kvænangen (-2019);All ages;Average Gross income;161900;173000;185700;197900;197300;201300;225500;223900;247200;273200;280500;301100;783200;314500;324700;340300;368900;361300;391900;381800;406000;0;0;0;0
Kvalsund;2017 Kvalsund (-2019);All ages;Average Gross income;168400;179100;189300;199300;204700;210700;233600;242500;257300;282200;294500;299700;322400;339200;349700;363900;378700;389900;403500;398200;414100;0;0;0;0
Kvam;4622 Kvam;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;470800;509900;516700;552300
Kvam;1238 Kvam (-2019);All ages;Average Gross income;193500;207900;217100;228400;238200;243200;275000;269900;292600;314300;320800;328500;342600;357400;375300;386000;404900;410700;426700;435000;458500;0;0;0;0
Kvinesdal;4227 Kvinesdal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;446300;481100;492900;522600
Kvinesdal;1037 Kvinesdal (-2019);All ages;Average Gross income;189400;199800;211200;225000;232000;237700;256400;261700;291300;322800;310600;318700;339900;350200;370200;378300;388000;387300;401800;420800;435400;0;0;0;0
Kvinnherad;4617 Kvinnherad;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465100;528000;524400;562100
Kvinnherad;1224 Kvinnherad (-2019);All ages;Average Gross income;195700;204200;216300;235400;240600;246600;254100;269600;301400;321700;323800;335600;352200;366900;383000;395400;404400;406500;413000;429700;453000;0;0;0;0
Kviteseid;3821 Kviteseid (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;447600;475800;489100;535700
Kviteseid;4028 Kviteseid;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kviteseid;0829 Kviteseid (-2019);All ages;Average Gross income;179500;187000;198900;212400;216200;228500;247100;247500;271600;292600;297400;309200;324600;338100;355000;368100;381000;389400;400000;418500;438100;0;0;0;0
Kvitsøy;1144 Kvitsøy;All ages;Average Gross income;200900;219700;222900;227000;236100;241900;275800;264300;291700;322300;319500;341400;351500;364300;395000;418500;436100;467400;434600;445500;469100;481700;517800;536700;584800
Lærdal;4642 Lærdal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467400;491900;510400;549600
Lærdal;1422 Lærdal (-2019);All ages;Average Gross income;192400;204100;213300;229500;233700;239700;257000;259000;284100;313000;321300;329300;348600;358700;378900;388300;398900;406800;432800;442200;455500;0;0;0;0
Laksevåg;1248 Laksevåg (1918-1971);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Landvik;0924 Landvik (-1970);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lardal;0728 Lardal (-2017);All ages;Average Gross income;189600;202900;212300;226800;230700;239100;246500;258700;289200;316000;320100;327300;340400;360500;374100;387800;404900;412800;422900;0;0;0;0;0;0
Larvik;3805 Larvik (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456000;499900;520500;535500
Larvik;3909 Larvik;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Larvik;0707 Larvik (-1987);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Larvik;0709 Larvik (1988-2017);All ages;Average Gross income;208700;223100;230300;261000;261100;271600;293800;271900;297500;324200;317700;329000;345600;357800;369500;385200;402400;406800;423600;0;0;0;0;0;0
Larvik;0712 Larvik (2018-2019);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;428100;445600;0;0;0;0
Lebesby;5624 Lebesby;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lebesby;5438 Lebesby (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;443200;457500;508400;523700
Lebesby;2022 Lebesby (-2019);All ages;Average Gross income;184100;191200;202000;209200;219000;219000;227600;239300;251800;269700;282600;290600;309800;318500;324900;343400;346300;375900;382900;411200;426600;0;0;0;0
Leikanger;1419 Leikanger (-2019);All ages;Average Gross income;211200;221000;231200;241800;250700;256900;276400;278100;308900;332400;344100;360700;374900;392000;401400;419400;439400;451500;464100;453200;476800;0;0;0;0
Leirfjord;1822 Leirfjord;All ages;Average Gross income;169100;189200;189900;196500;196600;201100;215000;223800;244100;269400;272500;288600;310200;331000;339800;345200;360400;371500;381200;397200;417600;429300;461000;485300;513200
Leka;5052 Leka;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;402600;425400;456900;500100;478200;513900
Leka;1755 Leka (-2017);All ages;Average Gross income;172600;220400;193700;205200;196000;205900;217200;220700;249300;261700;267800;279500;298600;327100;334000;349600;364200;380900;395500;0;0;0;0;0;0
Leksvik;1718 Leksvik (-2017);All ages;Average Gross income;182300;199400;202100;214100;244800;226200;244600;245300;266600;285200;290600;299200;320000;336100;347200;360300;371500;399500;394000;0;0;0;0;0;0
Lenvik;1931 Lenvik (-2019);All ages;Average Gross income;193000;209600;213100;225300;236000;240700;255500;256700;279900;303700;306000;324600;336300;352900;359900;374600;402800;407100;416300;432000;451000;0;0;0;0
Lesja;3432 Lesja;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;423400;496500;489000;510300
Lesja;0512 Lesja (-2019);All ages;Average Gross income;169200;182600;193700;209800;201100;212900;228300;231600;259300;280700;285000;299400;310300;326200;342600;357100;388600;382900;399200;408600;425200;0;0;0;0
Levanger;1719 Levanger (1962-2017);All ages;Average Gross income;195200;204100;216500;230600;235900;242900;256400;261600;285400;303800;310700;323100;335400;354500;369900;382200;398500;405100;418700;0;0;0;0;0;0
LevangerLevangke;5037 Levanger - Levangke;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;431700;448900;459000;493500;507600;541200
Lier;3049 Lier (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;545100;596900;607300;629000
Lier;0626 Lier (-2019);All ages;Average Gross income;245900;263700;268300;284300;300000;314500;338300;322400;353500;373300;376700;391800;407600;429200;437500;456400;482800;482300;492900;511100;528500;0;0;0;0
Lier;3312 Lier;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lierne;5042 Lierne;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;399200;408600;421300;449400;474200;501900
Lierne;1738 Lierne (1964-2017);All ages;Average Gross income;164900;174800;184100;198800;198600;213000;224800;230100;246600;271400;275600;297200;312300;342000;357200;368400;377800;373200;380000;0;0;0;0;0;0
Lillehammer;3405 Lillehammer;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;472300;505900;518800;551900
Lillehammer;0501 Lillehammer (-2019);All ages;Average Gross income;207200;223100;232200;251100;262200;266300;291200;280900;302700;328800;326300;336700;351900;368000;384500;395900;418900;418700;431800;447000;458900;0;0;0;0
Lillesand;4215 Lillesand;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;484200;533700;533600;560200
Lillesand;0926 Lillesand (1962-2019);All ages;Average Gross income;212400;227800;232200;258900;267300;268200;295600;281000;310900;341100;347800;358400;377000;394300;405500;420600;438000;430800;440700;453700;470300;0;0;0;0
Lillestrøm;3205 Lillestrøm;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lillestrøm;3030 Lillestrøm (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514200;555400;564300;591600
Lindås;1263 Lindås (-2019);All ages;Average Gross income;209200;219300;231700;250500;259200;264500;282400;292300;319500;348000;357700;366100;382000;400700;414800;433300;437700;432900;436600;456600;481300;0;0;0;0
Lindesnes;4205 Lindesnes;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450200;491000;499600;527100
Lindesnes;1029 Lindesnes (1964-2019);All ages;Average Gross income;181300;191600;204700;223100;237900;235300;269000;249900;277900;293300;296700;305400;324500;343900;354000;374400;396300;394900;400900;417700;426600;0;0;0;0
LoabákLavangen;5518 Loabák - Lavangen;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LoabákLavangen;5415 Loabák - Lavangen (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;397100;421300;429800;459300
LoabákLavangen;1920 Loabák - Lavangen (1907-2019);All ages;Average Gross income;169600;181100;187300;199300;201100;207900;226700;224900;252900;269500;270900;282400;300600;308300;321600;337400;350000;358200;371600;376600;405800;0;0;0;0
Lødingen;1851 Lødingen;All ages;Average Gross income;191700;199300;210300;224400;225200;229800;242800;248300;270800;290600;298200;314600;318100;327200;331100;351900;366900;374100;399200;409600;429500;438500;472400;465100;483100
Lom;3434 Lom;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;420700;441900;466300;504400
Lom;0514 Lom (-2019);All ages;Average Gross income;169000;176400;192200;204200;209900;230500;229900;235800;256000;276500;284200;293000;308000;321200;338400;355000;364900;374800;381700;395600;413700;0;0;0;0
Longyearbyenplanningarea;2111 Longyearbyen planning area;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Loppa;5614 Loppa;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Loppa;5432 Loppa (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;412200;429200;454600;521200
Loppa;2014 Loppa (-2019);All ages;Average Gross income;173700;185600;200100;206100;206000;212100;216900;230100;256100;279300;278600;298700;310500;323900;325100;335500;357800;368300;370000;377200;389200;0;0;0;0
Lørenskog;3222 Lørenskog;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
