kommun;kommun original;age;metric;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aure;1569 Aure (-2005);All ages;Average Gross income;178100;194000;203600;215400;219200;227400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aure;1576 Aure;All ages;Average Gross income;0;0;0;0;0;0;242900;259400;279300;300800;307100;317000;334500;350400;365300;377100;400900;396000;406400;424000;449900;457500;483000;511600;536000
Aurland;4641 Aurland;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;446900;475400;503300;557500
Aurland;1421 Aurland (-2019);All ages;Average Gross income;190700;200800;214700;229100;239300;246200;261700;258500;287100;311700;317000;329200;342900;355600;370500;377200;400500;408300;422100;438600;450900;0;0;0;0
AurskogHøland;3226 Aurskog-Høland;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AurskogHøland;3026 Aurskog-Høland (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450000;483400;503800;526200
AurskogHøland;0221 Aurskog-Høland (1966-2019);All ages;Average Gross income;202800;216300;226600;239200;245700;251300;270700;270100;291700;313500;314800;325300;337300;352600;367800;378600;392600;400700;414600;424300;443400;0;0;0;0
Austevoll;4625 Austevoll;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;637900;678900;685800;740100
Austevoll;1244 Austevoll (-2019);All ages;Average Gross income;237100;266100;277400;294000;327700;306100;359200;314800;360200;395900;402000;439700;471500;457700;475200;505200;532500;540900;547600;593200;615400;0;0;0;0
Austrheim;4632 Austrheim;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;487400;535900;567100;605400
Austrheim;1264 Austrheim (1910-2019);All ages;Average Gross income;245000;244800;256600;311700;281200;289700;384200;309200;343700;364600;372800;378500;398500;419800;440000;443900;465900;444400;447400;461400;486000;0;0;0;0
Averøy;1554 Averøy;All ages;Average Gross income;194600;205200;217900;230000;238100;244400;273000;270200;297900;323400;324600;341600;377000;380800;400800;415400;431500;431700;441700;451600;476000;485800;522400;535700;570400
Bærum;3201 Bærum;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bærum;3024 Bærum (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;688200;787200;763900;806700
Bærum;0219 Bærum (-2019);All ages;Average Gross income;309200;352800;341200;370300;385600;401300;440800;407500;453700;478200;465600;489000;508800;528500;548300;572300;629200;606400;634400;642500;661500;0;0;0;0
Balestrand;1418 Balestrand (-2019);All ages;Average Gross income;190000;202000;212200;220000;221200;225700;242300;247800;275400;294800;299900;313500;327100;340300;349900;360300;371200;377200;391100;400600;428800;0;0;0;0
Ballangen;1854 Ballangen (1925-2019);All ages;Average Gross income;172100;181700;193700;206900;213100;219000;222200;232400;250500;271500;282400;291600;301400;320800;330700;346600;361100;370400;373700;378900;400600;0;0;0;0
Balsfjord;5532 Balsfjord;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Balsfjord;5422 Balsfjord (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433100;451900;471100;498200
Balsfjord;1933 Balsfjord (-2019);All ages;Average Gross income;173700;186800;193800;204800;209300;218400;228600;236900;258700;278600;283500;296600;313400;327100;339000;349200;369000;372800;383000;397300;419700;0;0;0;0
Bamble;3813 Bamble (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;475200;525800;532700;553400
Bamble;4012 Bamble;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bamble;0814 Bamble (-2019);All ages;Average Gross income;213100;224100;236300;249300;253800;259100;278000;284300;311000;333700;352600;344100;360100;375000;388900;401100;413800;420500;428300;440500;459800;0;0;0;0
Bardu;5520 Bardu;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bardu;5416 Bardu (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;479000;502100;529100;561100
Bardu;1922 Bardu (-2019);All ages;Average Gross income;203700;218200;230600;246800;253300;259600;269100;283800;310400;324700;332500;343500;362100;372900;375100;388400;404700;421800;432600;457100;468600;0;0;0;0
Båtsfjord;5632 Båtsfjord;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Båtsfjord;5443 Båtsfjord (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;436200;466900;494700;511600
