Country,HändelseID,Fynddatum,Undersökt,Undersökt datum,Skada på,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Kön,Alder,Antall,Tilstand,Antal döda under 1 år,Antal avlivade under 1 år,Antal skadade under 1 år,Antal saknade under 1 år,Antal döda 1 till 2 år,Antal avlivade 1 till 2 år,Antal skadade 1 till 2 år,Antal saknade 1 till 2 år,Antal döda över 2 år,Antal avlivade över 2 år,Antal skadade över 2 år,Antal saknade över 2 år,Skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Låst,Låst datum,Senast sparad datum,Kommunenummer,Kommune,Fylkenummer,Fylke
Sweden,V472685,2016.12.18,Ja,2016.12.17,Jakthund,Annan,Karelare,2016.12.17,2016.12.17,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2183,Drängbergsbo ,6780952,570072,6782439,1526757,RT90,Mindre bra,2016.12.18,Ja,2022.04.04,2022.04.04,2-2183,Bollnäs (S),2-21,Gävleborgs län (S)
Sweden,V472853,2017.01.14,Ja,2017.01.14,Jakthund,Annan,Engelsk springer spaniel,2017.01.14,2017.01.14,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Dokumenterad,2-0181,Ogan,6552348,639411,6552934,1593322,RT90,Mindre bra,2017.01.16,Nej,,2017.01.20,2-0181,Södertälje (S),2-01,Stockholms län (S)
Sweden,V472888,2017.01.21,Ja,2017.01.21,Jakthund,Annan,Tysk jaktterrier,2017.01.21,2017.01.21,Nej,NA,Under 1 år,1,Skadad,0,0,1,0,0,0,0,0,0,0,0,0,Varg,,Fältkontroll - LST,Dokumenterad,2-1737,Tarvtorp Rinn Öster om Torsby,6670819,397715,6674381,1352984,WGS84-UTM Zon 33,Mindre bra,2017.01.21,Nej,,2022.04.04,2-1737,Torsby (S),2-17,Värmlands län (S)
Sweden,V473161,2003.01.19,Ja,2003.01.19,Annan hund,Annan,Basset Griffon Vendin Petit,2003.01.19,2003.01.19,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1439,Dagsholm,6489364,326167,6493700,1279200,RT90,Mycket bra,2003.01.19,Ja,2017.02.13,,2-1439,Färgelanda (S),2-14,Västra Götalands län (S)
Sweden,V473164,1999.06.17,Ja,1999.06.20,Annan hund,Annan,Borderterrier,1999.06.17,1999.06.17,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-0331,Kerstinbo gård,6680901,607734,6681900,1563200,RT90,Mycket bra,1999.06.20,Ja,2017.02.13,,2-0331,Heby (S),2-03,Uppsala län (S)
Sweden,V473165,2003.09.09,Ja,2003.09.09,Annan hund,Annan,Dunkerstövare,2003.09.09,2003.09.09,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2361,Mullberget,6902819,514109,6905037,1472287,RT90,Mycket bra,2003.09.09,Ja,2017.02.13,,2-2361,Härjedalen (S),2-23,Jämtlands län (S)
Sweden,V473167,2003.09.17,Ja,2003.09.18,Annan hund,Annan,Hamiltonstövare,2003.09.17,2003.09.17,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-2361,Fåssjödal_ Kölsjön_ Hästberget,6892584,514049,6894800,1472100,RT90,Mycket bra,2003.09.18,Ja,2017.02.13,,2-2361,Härjedalen (S),2-23,Jämtlands län (S)
Sweden,V473169,2003.09.14,Ja,2003.09.24,Annan hund,Annan,Hamiltonstövare,2003.09.14,2003.09.14,Nej,NA,Över 2 år,1,Skadad,0,0,0,0,0,0,0,0,0,0,1,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1780,Forsås,6592450,441016,6595450,1395350,RT90,Mycket bra,2003.09.24,Ja,2017.02.13,,2-1780,Karlstad (S),2-17,Värmlands län (S)
Sweden,V473178,2003.09.28,Ja,2003.10.23,Annan hund,Annan,Drever,2003.09.28,2003.09.28,Nej,NA,Över 2 år,1,Död,0,0,0,0,0,0,0,0,1,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1438,Rävmarken,6551997,315218,6556500,1269000,RT90,Mycket bra,2003.10.23,Ja,2017.02.13,,2-1438,Dals-Ed (S),2-14,Västra Götalands län (S)
Sweden,V473179,2003.12.22,Ja,2003.12.23,Annan hund,Annan,Tysk Jaktterrier,2003.12.22,2003.12.22,Nej,NA,1 till 2 år,1,Död,0,0,0,0,1,0,0,0,0,0,0,0,Varg,,Fältkontroll - LST,Bedömd som säker,2-1784,Brunsberg,6609157,384519,6612850,1339030,RT90,Mycket bra,2003.12.23,Ja,2017.02.13,,2-1784,Arvika (S),2-17,Värmlands län (S)
