Kommun,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
Oskarshamn,"185,794","190,727","187,964","190,341","194,095","201,147","205,813","213,839","223,027","228,679","232,511","238,097","241,969","249,575","252,874","256,014","262,242","267,069","272,937","270,273","270,545","275,405","284,614","291,433","300,820","307,032","312,882","313,985","311,064","311,572","316,898"
Västervik,"177,939","181,863","178,510","178,438","180,837","186,248","191,269","200,074","207,698","212,017","214,506","218,921","224,114","229,426","231,000","232,083","235,447","238,567","243,240","240,792","241,034","246,272","250,970","254,420","261,710","267,266","271,684","273,759","274,857","279,295","282,837"
Vimmerby,"175,371","177,726","174,982","175,851","178,187","184,404","188,644","198,161","205,874","213,595","217,703","222,307","226,280","231,765","234,447","239,579","243,326","245,794","249,257","247,189","248,206","251,964","257,603","264,855","273,505","278,980","283,966","286,339","291,324","294,236","298,912"
Borgholm,"146,218","149,952","149,299","150,674","152,852","155,015","161,471","170,949","178,586","183,785","187,386","193,656","200,040","204,059","208,836","211,351","216,312","216,113","221,107","223,249","221,628","225,478","231,876","232,328","243,098","248,625","255,743","253,456","255,825","263,143","267,027"
GOTLANDS LÄN,"170,538","174,033","172,442","173,313","174,977","180,086","184,392","192,550","199,703","205,574","209,210","212,714","216,117","220,502","223,362","227,666","230,658","232,203","238,343","236,318","234,206","239,199","245,773","249,649","259,331","265,356","270,189","271,827","273,509","279,549","283,209"
Gotland,"170,538","174,033","172,442","173,313","174,977","180,086","184,392","192,550","199,703","205,574","209,210","212,714","216,117","220,502","223,362","227,666","230,658","232,203","238,343","236,318","234,206","239,199","245,773","249,649","259,331","265,356","270,189","271,827","273,509","279,549","283,209"
BLEKINGE LÄN,"183,075","187,329","184,436","184,719","186,334","191,194","195,413","203,367","211,610","217,548","220,925","225,834","229,884","234,350","238,437","241,994","244,886","246,362","249,434","245,808","244,478","250,856","256,875","260,548","267,586","274,950","280,748","283,193","284,943","291,493","294,776"
Olofström,"190,779","195,602","193,044","191,930","193,917","197,177","202,270","210,146","220,494","225,323","226,257","230,690","233,316","236,597","240,484","243,534","248,069","248,213","245,960","238,905","241,202","244,829","250,269","251,680","259,977","268,881","277,310","278,233","275,571","280,947","281,544"
Karlskrona,"182,320","187,033","184,860","184,834","186,669","192,757","196,439","204,237","213,034","220,072","224,601","229,404","232,904","236,740","241,633","245,978","248,866","250,270","254,509","250,971","248,385","256,538","263,563","268,702","275,419","282,725","288,974","291,550","294,700","302,027","305,699"
Ronneby,"180,658","184,522","181,050","180,612","181,458","185,416","189,750","197,517","203,503","209,043","212,390","217,357","223,182","229,908","232,957","236,495","238,146","239,521","241,303","238,327","238,842","244,196","249,792","251,739","256,119","262,431","267,085","266,589","268,846","275,413","278,023"
