Kommun,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
Avesta,"186,700","189,545","187,259","188,513","190,042","196,230","200,611","209,011","217,695","221,148","225,084","232,021","238,375","242,894","246,306","248,986","250,905","252,594","259,181","256,998","256,757","263,161","265,788","265,677","265,940","272,932","276,292","278,850","282,044","288,302","291,420"
Ludvika,"184,132","189,102","186,694","188,036","190,386","195,180","198,439","206,988","214,900","218,362","221,428","226,079","230,738","234,736","238,320","242,124","245,861","247,691","255,685","252,789","250,507","258,199","267,027","268,239","274,055","276,846","280,734","281,230","280,349","284,731","289,784"
GÄVLEBORGS LÄN,"184,283","189,102","185,848","186,332","188,636","194,019","197,623","206,085","214,223","219,126","221,709","226,083","230,393","234,786","239,086","242,648","245,835","247,812","252,516","250,182","249,147","254,041","260,423","262,738","270,213","277,040","281,367","283,504","285,155","289,449","293,076"
Ockelbo,"168,423","174,180","172,301","173,955","175,673","180,924","184,834","193,046","198,998","203,676","207,501","211,097","218,880","223,440","228,576","233,275","234,062","238,036","242,927","241,341","234,551","240,785","247,035","247,184","251,950","258,308","262,281","260,859","263,028","268,208","269,988"
Hofors,"194,253","199,739","195,020","198,373","200,464","207,965","210,636","218,878","224,669","228,779","229,434","234,008","237,986","243,812","248,175","251,816","253,756","257,780","259,526","257,422","255,560","260,433","266,988","272,146","276,967","283,833","286,813","288,835","287,280","290,632","293,986"
Ovanåker,"171,444","176,987","175,546","175,912","178,542","180,690","185,703","194,457","200,836","206,072","207,049","212,934","219,033","225,427","231,406","236,868","240,279","241,629","243,571","240,795","243,722","247,553","249,945","250,740","261,118","265,637","271,211","273,268","274,674","277,760","281,935"
Nordanstig,"165,402","170,192","167,503","168,709","171,293","175,417","181,472","189,362","198,186","202,333","205,837","213,876","217,533","221,865","224,300","227,446","230,169","230,731","234,432","231,795","230,555","235,919","240,770","245,622","255,242","261,662","265,974","265,283","266,384","270,522","274,462"
Ljusdal,"169,631","174,328","171,736","173,417","174,283","180,915","184,212","192,838","201,650","206,417","209,719","214,794","219,224","223,367","226,843","230,009","230,414","230,040","234,628","231,188","230,413","238,126","244,045","247,013","253,617","260,325","262,062","264,917","268,957","272,445","276,899"
Gävle,"195,310","199,443","195,867","195,341","196,581","203,386","207,907","216,009","223,572","227,839","231,254","234,839","238,931","242,904","248,213","252,555","256,452","259,172","265,972","264,276","261,737","265,424","272,379","275,988","285,533","294,343","298,488","300,853","302,636","305,737","309,067"
Sandviken,"187,455","192,500","189,234","191,678","194,350","199,399","203,396","213,886","223,201","227,872","229,924","234,801","241,010","246,942","252,208","255,122","257,529","259,256","261,875","258,587","257,190","261,119","267,019","268,680","273,233","276,942","278,485","280,715","282,821","287,309","291,509"
Söderhamn,"181,867","187,181","183,872","185,139","187,828","193,784","195,648","204,504","214,267","219,018","221,701","222,247","224,937","227,742","229,431","231,126","232,109","233,046","239,841","237,277","236,534","241,880","248,763","251,296","256,073","263,810","268,438","269,803","270,563","276,553","278,737"
Bollnäs,"177,637","183,192","179,497","180,171","182,755","186,730","190,324","198,691","204,891","209,201","211,863","217,241","222,547","226,706","229,848","232,861","235,788","238,813","242,732","239,000","238,825","244,904","249,868","251,602","256,914","263,498","268,696","270,087","271,552","275,366","277,879"
Hudiksvall,"182,018","186,886","183,307","183,081","185,363","190,158","194,195","202,250","211,339","215,663","218,593","223,446","226,781","231,270","235,395","238,482","242,949","244,547","250,182","249,234","248,486","254,486","262,116","264,808","272,629","277,014","283,727","286,563","287,270","293,142","297,090"
VÄSTERNORRLANDS LÄN,"190,779","194,420","191,210","192,010","194,067","199,883","203,913","211,000","219,100","224,311","228,290","233,428","237,522","242,657","247,654","251,028","254,010","255,781","262,034","259,518","257,004","263,204","270,224","274,300","282,565","289,159","292,676","294,894","296,881","302,009","305,079"
Ånge,"174,767","181,567","178,086","179,796","182,033","188,561","192,158","200,305","205,644","210,032","212,599","217,945","221,201","226,437","231,334","232,894","233,620","236,013","241,920","239,380","239,575","246,811","249,918","255,749","262,264","269,823","270,475","273,382","277,134","282,992","282,775"
Timrå,"193,195","196,784","194,314","195,261","198,468","203,714","208,359","214,264","224,986","230,598","234,609","240,281","243,191","247,274","251,841","253,735","256,759","257,861","264,230","261,898","259,442","264,930","271,527","275,645","284,790","291,576","297,268","298,550","300,049","303,491","308,576"
Härnösand,"193,951","197,375","193,750","194,248","195,905","200,863","203,771","211,306","219,284","222,184","227,732","231,519","235,180","239,405","243,538","244,914","247,773","249,114","256,558","251,730","248,986","253,428","257,860","259,344","263,004","270,552","273,129","275,350","275,986","281,132","285,859"
Sundsvall,"200,144","203,137","199,253","199,532","201,359","207,639","211,832","218,743","227,152","233,106","237,476","243,449","247,643","253,099","257,511","261,857","265,079","267,006","273,117","271,578","270,202","276,396","284,515","289,551","298,822","305,678","309,949","313,645","316,526","320,638","322,997"
Kramfors,"173,861","179,203","176,957","178,397","181,484","187,594","191,829","199,953","205,910","210,969","212,708","217,300","222,317","225,842","231,282","234,103","235,124","235,371","239,926","237,150","233,098","239,486","245,555","248,051","255,061","258,546","264,170","263,619","262,054","269,538","274,231"
Sollefteå,"175,220","181,715","179,215","180,243","181,799","186,933","191,477","198,318","204,414","209,185","211,228","215,627","219,898","224,745","228,445","230,912","231,807","232,245","238,011","233,341","230,199","236,916","243,613","245,016","250,672","257,767","261,403","262,352","262,118","269,252","270,914"
Örnsköldsvik,"189,872","193,386","189,940","190,514","192,821","199,290","203,691","210,509","218,236","223,654","227,833","233,018","237,871","243,924","249,432","253,945","257,330","259,753","267,175","263,968","261,607","267,939","274,545","278,539","288,046","294,612","295,341","297,354","299,056","304,161","307,440"
JÄMTLANDS LÄN,"178,694","183,635","180,767","181,512","183,182","187,986","192,453","200,609","207,241","212,395","215,859","221,207","225,310","230,572","234,340","238,270","241,704","242,197","247,261","244,540","242,838","250,081","257,197","261,157","270,598","277,610","281,323","284,814","285,744","291,053","294,876"
Ragunda,"166,761","172,851","170,325","172,842","176,065","180,529","184,870","190,350","199,262","202,328","206,840","208,933","215,169","221,096","223,835","225,123","228,234","229,077","228,668","224,635","221,008","227,239","235,772","241,679","246,078","252,930","255,231","256,332","259,049","267,476","268,117"
Bräcke,"170,236","174,919","170,325","171,871","173,354","177,955","182,811","190,263","196,247","200,296","207,160","213,014","217,986","220,732","226,236","228,345","228,589","228,868","235,395","230,236","225,826","232,049","237,086","240,975","246,782","252,969","256,319","256,595","256,459","267,042","268,935"
Krokom,"174,616","179,203","179,074","179,482","181,809","186,382","192,162","201,117","207,664","212,817","215,856","224,772","226,700","233,942","237,264","242,501","246,528","247,513","254,770","254,261","253,985","263,113","271,532","278,871","287,084","295,566","300,211","305,315","307,334","314,568","319,257"
Strömsund,"166,610","173,146","170,607","171,962","174,009","177,231","181,649","190,410","195,839","198,516","200,437","205,340","209,161","215,299","219,031","223,414","223,414","222,825","226,762","224,886","221,860","229,655","236,230","237,637","246,050","249,078","252,269","255,982","257,719","264,333","265,504"
Åre,"167,063","171,964","170,184","173,613","177,160","179,416","183,562","192,604","196,738","201,317","203,520","209,598","215,220","221,163","228,111","233,573","236,981","235,373","240,325","242,258","240,610","247,264","254,457","255,579","269,595","278,437","285,202","290,581","293,844","294,771","301,568"
Berg,"154,979","160,589","160,447","162,549","164,808","168,832","176,389","185,234","191,992","195,069","197,976","203,393","206,970","212,018","216,430","219,505","224,553","222,909","227,160","220,869","218,355","227,012","233,945","240,656","247,180","254,314","253,528","256,723","257,320","265,584","270,292"
Härjedalen,"165,704","172,112","170,466","173,327","174,740","180,817","184,813","192,166","199,930","202,855","204,337","209,118","213,764","216,529","220,068","221,122","224,548","225,073","230,849","227,207","227,537","235,060","240,435","244,459","257,198","265,499","269,190","267,657","268,931","274,252","277,500"
Östersund,"194,253","197,670","193,750","193,751","193,644","199,518","204,281","212,666","220,404","226,484","229,705","234,666","237,655","242,702","246,151","250,551","255,125","256,382","261,598","258,620","257,062","263,737","270,959","274,111","282,891","289,751","293,954","297,760","296,918","302,568","305,504"
VÄSTERBOTTENS LÄN,"188,815","193,238","189,517","189,810","190,477","195,656","199,446","208,332","216,300","220,858","223,495","227,245","231,065","235,919","240,414","244,923","249,577","252,011","257,160","255,681","254,596","261,551","268,166","272,439","281,736","289,096","291,659","294,212","296,641","300,626","304,229"
Nordmaling,"171,897","176,249","171,877","172,714","174,621","180,691","185,355","195,799","204,205","207,681","211,449","217,748","220,341","222,605","228,580","232,034","236,767","238,170","241,739","242,732","238,510","242,250","248,078","251,799","261,752","269,325","273,777","275,964","277,533","281,422","283,188"
Bjurholm,"159,964","163,987","161,153","162,428","163,011","168,076","172,654","179,362","189,761","190,780","195,075","199,464","204,898","208,006","212,741","212,891","211,071","210,213","219,176","215,522","214,740","219,396","229,163","228,527","239,448","246,045","250,336","249,236","250,582","259,428","261,122"
Vindeln,"165,251","169,453","167,220","167,254","169,766","175,257","179,557","186,064","193,362","199,893","201,013","205,028","211,359","217,616","222,129","225,098","228,546","232,809","234,130","230,674","233,537","242,290","251,513","250,304","257,776","267,025","268,554","270,323","272,793","277,521","279,427"
Robertsfors,"170,387","171,964","172,583","174,735","176,820","182,411","187,667","197,288","203,809","212,480","215,091","218,717","223,968","227,908","234,696","236,491","242,057","243,403","248,366","245,450","243,870","252,121","260,202","264,453","269,666","273,621","276,832","280,575","281,901","289,470","293,598"
Norsjö,"177,033","182,749","180,626","181,258","182,458","187,993","191,642","199,663","205,104","209,522","211,047","216,481","224,598","227,920","232,123","235,540","237,959","237,982","241,878","239,558","237,880","249,128","255,025","258,451","261,934","271,599","269,699","272,891","274,490","281,170","282,982"
Malå,"184,132","189,102","186,553","188,861","189,549","196,486","201,636","210,209","215,692","221,824","225,295","228,860","235,746","239,360","244,785","251,132","253,495","250,964","255,912","253,522","249,916","259,532","266,136","272,031","273,823","283,297","285,127","286,705","286,815","289,773","287,542"
Storuman,"173,257","177,578","175,546","174,516","177,168","181,413","186,088","193,665","198,689","202,678","204,772","208,851","211,872","215,813","218,986","223,988","228,147","227,741","234,494","235,110","232,440","235,207","242,464","244,924","257,259","265,242","268,747","266,093","270,763","271,594","271,962"
Sorsele,"164,193","171,373","171,031","171,962","174,945","179,301","180,223","188,716","196,516","198,516","200,611","202,095","210,534","211,885","215,857","221,215","222,429","223,768","227,944","222,380","220,917","227,121","238,500","243,473","255,245","266,950","266,430","276,617","266,236","270,175","267,856"
Dorotea,"169,631","175,067","169,196","172,689","173,689","178,105","181,532","190,735","194,271","198,948","199,861","205,159","212,289","218,636","220,786","224,881","229,130","228,755","231,716","229,091","225,307","234,520","237,865","243,304","249,369","258,265","256,149","258,957","259,642","263,949","272,119"
Vännäs,"181,564","185,999","184,154","185,831","186,632","193,581","197,592","206,343","214,610","217,588","220,734","225,124","228,413","233,925","239,168","242,790","247,563","250,969","258,300","258,054","256,133","259,887","269,205","273,521","281,831","287,650","288,015","289,336","296,623","301,503","306,357"
Vilhelmina,"175,522","181,715","177,804","176,437","177,997","182,129","184,670","195,455","200,133","203,655","203,578","208,877","212,670","215,472","218,662","223,663","223,981","223,785","229,148","225,994","220,813","230,019","235,340","240,697","249,191","259,086","262,271","265,565","262,488","263,209","262,453"
Åsele,"167,517","173,589","169,761","172,255","172,392","176,723","182,463","189,095","195,112","198,410","199,574","201,189","207,780","208,825","211,334","211,482","214,494","215,549","219,614","219,105","214,807","219,705","228,707","232,609","237,837","242,518","241,261","242,831","247,939","252,552","253,408"
Umeå,"200,597","204,171","199,395","198,951","197,833","203,852","207,248","216,589","225,366","229,174","233,175","236,287","239,485","244,224","248,864","253,638","258,837","261,237","266,749","264,310","263,619","270,459","277,351","282,563","291,438","298,495","300,981","303,402","304,466","308,114","312,176"
Lycksele,"186,851","192,500","188,388","189,551","189,603","195,141","198,133","205,289","214,690","219,073","221,183","224,132","228,749","232,966","236,669","240,805","244,665","247,123","251,410","251,689","250,220","258,832","261,461","265,100","273,194","279,548","279,107","283,527","286,143","291,353","295,393"
Skellefteå,"191,081","195,602","192,480","192,678","193,509","198,714","203,661","212,463","220,063","225,123","226,558","230,354","233,322","238,992","243,959","248,235","253,652","256,319","261,988","261,258","260,468","267,152","273,081","277,160","287,054","294,561","298,485","301,214","305,961","309,069","313,162"
NORRBOTTENS LÄN,"195,914","200,921","197,983","197,843","198,194","203,501","207,520","214,968","221,790","225,530","227,604","231,745","235,081","240,442","244,705","248,964","253,043","255,709","262,096","261,243","260,412","268,776","276,589","282,487","291,071","298,324","299,801","303,486","305,799","310,066","313,832"
Arvidsjaur,"179,299","184,965","182,602","182,547","185,484","190,374","194,365","201,412","207,329","213,988","213,631","219,950","224,894","230,908","233,597","238,760","238,861","242,732","250,435","251,082","248,210","255,118","261,002","266,918","274,841","284,436","281,901","287,875","289,614","292,611","292,809"
Arjeplog,"174,012","180,533","178,227","180,474","182,772","190,304","194,698","199,887","206,883","212,299","213,190","214,368","216,413","220,060","221,732","225,746","227,687","229,440","240,321","239,976","235,881","245,371","251,723","256,841","270,149","281,454","283,325","280,528","279,562","284,836","290,271"
Jokkmokk,"180,356","185,556","184,436","186,252","188,649","193,290","196,279","203,110","208,044","211,430","212,201","215,651","220,560","227,834","230,238","231,851","233,603","234,335","242,840","239,245","236,725","241,170","251,706","257,694","262,347","270,266","272,924","277,469","276,274","284,220","286,340"
Överkalix,"174,616","181,272","178,651","179,769","179,243","182,780","188,180","196,119","201,253","203,418","203,247","207,367","213,146","217,685","218,551","223,501","226,696","226,356","231,396","225,999","224,529","233,952","240,102","243,937","254,020","259,351","259,291","262,765","260,186","267,862","269,400"
Kalix,"190,174","195,159","193,327","193,494","193,711","197,747","201,698","209,353","214,161","219,965","222,656","224,655","229,786","232,907","235,062","240,679","244,012","245,493","251,242","248,924","246,399","254,003","261,592","265,720","273,560","280,075","283,650","287,215","287,936","292,631","293,605"
Övertorneå,"169,782","175,805","174,135","171,625","174,534","177,919","182,676","191,196","196,659","197,752","195,097","202,008","209,572","214,668","218,888","221,580","222,535","225,622","225,692","225,850","226,514","233,085","237,480","237,768","245,520","251,830","252,855","250,854","250,662","256,375","256,344"
Pajala,"166,157","174,919","171,736","172,653","173,561","177,196","179,472","190,258","195,614","196,502","194,674","200,434","207,276","209,779","213,725","217,505","217,706","218,086","224,735","224,411","225,363","236,272","249,498","256,576","249,620","257,752","254,244","258,634","262,218","271,798","274,126"
Gällivare,"203,618","209,194","207,579","208,300","209,700","214,681","218,703","227,122","233,272","237,050","239,370","242,247","245,623","253,004","258,626","263,514","268,089","273,768","279,651","283,243","284,064","292,762","302,818","310,544","321,001","329,308","332,847","338,428","340,380","348,045","356,350"
Älvsbyn,"181,111","186,590","184,578","184,515","187,173","190,213","193,894","201,599","208,293","213,019","215,874","219,132","223,890","228,355","230,287","233,815","235,037","236,477","243,791","238,997","236,621","244,463","251,551","255,634","264,204","273,859","271,165","276,755","278,507","280,914","284,906"
Luleå,"206,639","209,489","205,886","205,125","204,737","211,696","216,184","223,365","230,339","233,435","235,634","240,363","242,347","248,196","252,131","256,389","260,502","263,244","269,223","269,509","268,453","276,378","285,401","291,213","300,853","307,624","309,710","312,553","315,170","319,075","323,441"
Piteå,"196,216","201,216","198,124","197,222","198,172","203,501","207,781","215,506","223,710","228,876","231,139","235,434","238,407","242,922","247,679","252,630","256,766","259,779","267,158","266,541","263,756","271,429","278,431","283,758","293,702","300,905","304,382","307,771","311,512","315,540","319,399"
Boden,"196,972","202,693","199,818","199,732","199,477","206,047","209,977","216,608","224,031","227,339","230,016","232,851","236,773","242,164","245,879","247,543","251,114","254,613","261,807","257,111","255,613","262,511","268,943","275,895","284,453","292,709","294,143","298,513","298,291","302,328","305,388"
Haparanda,"175,824","180,828","177,804","175,035","175,479","179,482","182,033","190,326","196,782","196,595","196,432","202,719","206,921","212,035","215,559","217,849","223,177","218,249","224,018","220,515","225,893","232,889","238,199","239,697","245,408","252,136","250,979","253,223","255,538","258,918","259,667"
Kiruna,"211,322","216,728","214,353","215,250","215,986","222,518","227,446","235,093","238,959","242,774","243,876","250,544","252,759","259,492","267,016","274,763","281,407","285,293","290,146","296,205","300,431","313,904","322,126","328,422","335,618","338,941","338,817","341,084","344,151","352,042","357,836"
