id,sex,Country_fatefile,territory,Revir_Vinter,Y_coordinate_fatefile,X_coordinate_fatefile,Autumn,Spring,Fate,confirmed illegal,Radio collar,Comment,average_paved_km,average_gravel_km,average_light,average_hf,dem_mean,slope_mean,aspect_mean,ruggedness_mean,KommunerKode,KommunerNamn,Country,pop_mean,Norwegian_wolf_zone,number_neighbour_terr,Reindeerarea,mean_snow,n_months_monitoringseason_averagesnow,hunt_afo,hunt_county,extr_parabol_2yr_value,extr_parabol_5yr_value,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_10,code_11,code_12,code_16,code_18,code_20,code_21,code_23,code_24,code_25,code_26,code_27,code_29,code_30,code_31,code_32,code_33,code_35,code_36,code_37,code_39,code_40,code_41,code_42,code_43,code_44,monitoredwolfterrcentroid,SLU-ID,Fi,BirthTerr
G5-03,F,S,Filipstad,Filipstad_9900,6632623,1392080,1999,2000,NA,NA,0,NA,0.26,1.16,0.06,6.25,236.305,35.405,177.019,0.357,1782,Filipstad,S,29.4,0,0,0,NA,NA,NA,5.7,0.353147746,0.182481052,0,0.00174,0.00032,0,0,0,0,0,0,0,0,0.01731,0,0.00033,0.00128,0.00644,0.00178,0.76916,0.03,0,0,0.08495,0,0,0,0,0.00097,0.02383,0,0,0,0.06188,0,0,0,1,G5-03,0.375,Ny4b
M-05-08,M,S,Filipstad,Filipstad_9900,6632623,1392080,1999,2000,NA,NA,1,NA,0.26,1.16,0.06,6.25,236.305,35.405,177.019,0.357,1782,Filipstad,S,29.4,0,0,0,NA,NA,NA,5.7,0.353147746,0.182481052,0,0.00174,0.00032,0,0,0,0,0,0,0,0,0.01731,0,0.00033,0.00128,0.00644,0.00178,0.76916,0.03,0,0,0.08495,0,0,0,0,0.00097,0.02383,0,0,0,0.06188,0,0,0,1,M-05-08,0.125,Hag2
G1-02,M,S,Glaskogen 1,Glaskogen_9900,6590610,1312488,1999,2000,NA,NA,0,NA,0.26,1.09,0.11,6.37,176.418,37.33,175.556,0.419,1785,Säffle,S,12.2,0,0,0,NA,NA,NA,5.7,0.250114209,0.100045684,0,0.00059,0,0,0,0,0,0,0,0,0.00075,0.04063,0,0.00399,0.00286,0.01473,0.00498,0.673,0.07392,0,0,0.03742,0,0,0,0,0.00021,0.00231,0,0,0,0.14463,0,0,0,1,G1-02,0.125,Fre
M-02-12,F,S,Glaskogen 1,Glaskogen_9900,6590610,1312488,1999,2000,NA,NA,1,NA,0.26,1.09,0.11,6.37,176.418,37.33,175.556,0.419,1785,Säffle,S,12.2,0,0,0,NA,NA,NA,5.7,0.250114209,0.100045684,0,0.00059,0,0,0,0,0,0,0,0,0.00075,0.04063,0,0.00399,0.00286,0.01473,0.00498,0.673,0.07392,0,0,0.03742,0,0,0,0,0.00021,0.00231,0,0,0,0.14463,0,0,0,1,M-02-12,0.234375,Årj
M-00-04,F,S,Grangärde,Grangärde_9900,6692097,1450111,1999,2000,NA,NA,1,NA,0.23,1.29,0.68,7.6,285.623,31.921,181.126,0.275,2085,Ludvika,S,27.3,0,0,0,NA,NA,NA,3.3,0.250099366,0.100821001,0,0.00763,0.00064,0,0,0,0.00026,0,0,0,0.00044,0.0084,0,0,0.00391,0.00385,0.00284,0.76831,0.0377,0,0,0.08548,0,0,0,0,0.0011,0.01354,0,0,0.00308,0.06281,0,0,0,1,M-00-04,0.125,Hag1
M-98-04,M,S,Grangärde,Grangärde_9900,6692097,1450111,1999,2000,NA,NA,1,NA,0.23,1.29,0.68,7.6,285.623,31.921,181.126,0.275,2085,Ludvika,S,27.3,0,0,0,NA,NA,NA,3.3,0.250099366,0.100821001,0,0.00763,0.00064,0,0,0,0.00026,0,0,0,0.00044,0.0084,0,0,0.00391,0.00385,0.00284,0.76831,0.0377,0,0,0.08548,0,0,0,0,0.0011,0.01354,0,0,0.00308,0.06281,0,0,0,1,M-98-04,0.1875,Le1
M-01-04,F,S,Hasselfors 1,Hasselfors-Laxå_9900,6544784,1425467,1999,2000,NA,NA,1,NA,0.35,1.25,0.73,7.9,118.506,36.744,183.153,0.154,1860,Laxå,S,20.7,0,0,0,NA,NA,NA,4.3,0.250093006,0.100037203,0,0.00677,0.00156,0.00043,0,0,0.00054,0,0,0.00025,0.00069,0.05053,0,0.00272,0.00317,0.005,0.00891,0.57257,0.07233,0,0,0.04847,0,0,0,0,0.0044,0.04767,0,0,0.00153,0.17245,0,0,0,1,M-01-04,0.125,Hag1
M-01-05,M,S,Hasselfors 1,Hasselfors-Laxå_9900,6544784,1425467,1999,2000,NA,NA,1,NA,0.35,1.25,0.73,7.9,118.506,36.744,183.153,0.154,1860,Laxå,S,20.7,0,0,0,NA,NA,NA,4.3,0.250093006,0.100037203,0,0.00677,0.00156,0.00043,0,0,0.00054,0,0,0.00025,0.00069,0.05053,0,0.00272,0.00317,0.005,0.00891,0.57257,0.07233,0,0,0.04847,0,0,0,0,0.0044,0.04767,0,0,0.00153,0.17245,0,0,0,1,M-01-05,0.125,Hag2
D-00-15,M,N,Koppang 1,Koppang_9900,6860071,1245831,1999,2000,NA,NA,0,NA,0.2,0.61,0.19,3.93,636.918,21.897,169.453,0.372,432,Rendalen,N,1.041,0,1,0,NA,NA,NA,6486,0.580111636,0.377709688,0,0.00107,0,0,0,0,0,0,0,0,0.00136,0.00209,0,0,0.00136,0.02395,0.02591,0.67366,0.01098,0,0.0113,0.04147,0,0.00137,0.07221,0,0,0.11291,0,0,0.00594,0.01442,0,0,0,1,D-00-15,0.125,Fre
G2-02,F,N,Koppang 1,Koppang_9900,6860071,1245831,1999,2000,NA,NA,0,NA,0.2,0.61,0.19,3.93,636.918,21.897,169.453,0.372,432,Rendalen,N,1.041,0,1,0,NA,NA,NA,6486,0.580111636,0.377709688,0,0.00107,0,0,0,0,0,0,0,0,0.00136,0.00209,0,0,0.00136,0.02395,0.02591,0.67366,0.01098,0,0.0113,0.04147,0,0.00137,0.07221,0,0,0.11291,0,0,0.00594,0.01442,0,0,0,1,G2-02,0.125,Hag2
