RovbaseID,DNAID,Art,Dødsårsak,"Dødsårsak, annet",Dødsdato,Usikker dødsdato,Dødstidspunkt,Alder på dødt individ,Aldersklasse verifisert SVA,Yngling,Kjønn,"Alder, vurdert","Alder, verifisert","Alder, verifisert av",Helvekt,Slaktevekt,CITES-nummer,Kontroll av fellingsted,Vevsprøve tatt,Observasjons/Jaktdato,Kontrollstatus,Vurdering,Microchip,Funnsted,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Individ,SVAID,Länsstyrelsens nr,Kommunenummer,Kommune,Fylkenummer,Fylke
M407506,D442865,Varg,Licensjakt,,2015.01.16,Nej,10:30,Unge,Ja,Ja,Hona,0,0,SVA,"29,50","0,00",,Ja,Ja,2015.01.16,Laboratorium,Dokumenterad,00072BFE66,Lilla Svarttjärnen,6619971,500624,6622258,1455316,RT90,Mycket bra,UI404961 G32-15 +,V2015-0162,,2-1885,Lindesberg (S),2-18,Örebro län (S)
M407515,D442909,Varg,Licensjakt,,2015.01.16,Nej,12:31,Vuxen,Ja,Nej,Hane,4,4,SVA,"51,00","0,00",,Nej,Ja,2015.01.16,Laboratorium,Dokumenterad,00072EDA25,,6607380,406176,6610809,1360676,RT90,Mycket bra,UI040149 G63-12 +,V2015-0174,VS032015FW,2-1715,Kil (S),2-17,Värmlands län (S)
M407516,D442911,Varg,Licensjakt,,2015.01.16,Nej,13:00,Unge,Ja,Nej,Hane,0,0,SVA,"35,00","0,00",,Ja,Ja,2015.01.16,Laboratorium,Dokumenterad,00072EF6F1,,6607414,406440,6610840,1360940,RT90,Mindre bra,UI404967 G40-15 +,V2015-0173,VS042015FW,2-1715,Kil (S),2-17,Värmlands län (S)
M407520,D442936,Varg,Licensjakt,,2015.01.16,Nej,10:20,Unge,Ja,Nej,Hona,0,0,SVA,"30,50","25,50",,Ja,Ja,2015.01.16,Laboratorium,Dokumenterad,00072EE45D,Skacksjödalen,6620170,403817,6623634,1358471,RT90,Mindre bra,UI404968 G35-15 +,V2015-0167,,2-1766,Sunne (S),2-17,Värmlands län (S)
M407503,D442857,Varg,Licensjakt,,2015.01.17,Nej,14:40,Unge,Ja,Nej,Hane,0,0,SVA,"42,00","0,00",,Nej,Nej,2015.01.17,Laboratorium,Dokumenterad,00072EB3FE,Elovstorp,6694034,383427,6697782,1338973,RT90,Mindre bra,UI404965 G38-15 +,V2015-0171,VS1020015PL,2-1737,Torsby (S),2-17,Värmlands län (S)
M407504,D442858,Varg,Licensjakt,,2015.01.17,Nej,14:30,Unge,Ja,Nej,Hona,0,0,SVA,"28,20","0,00",,Nej,Ja,2015.01.17,Laboratorium,Dokumenterad,00072EF526,Mosshöjden,6695508,378080,6699322,1333641,RT90,Mindre bra,UI404963 G34-15 +,V2015-0166,,2-1737,Torsby (S),2-17,Värmlands län (S)
M407507,D442866,Varg,Licensjakt,,2015.01.17,Nej,15:00,Unge,Ja,Nej,Hane,0,0,SVA,"33,00","0,00",,Nej,Ja,2015.01.17,Laboratorium,Dokumenterad,00072B8ECC,Aspen,6617647,497818,6619967,1452480,RT90,Mindre bra,UI404820 G131-14 +,V2015-0163,,2-1885,Lindesberg (S),2-18,Örebro län (S)
M407509,D442876,Varg,Licensjakt,,2015.01.17,Nej,,Vuxen,Ja,Nej,Hona,2,2,SVA,"36,50","0,00",,Nej,Nej,2015.01.17,Laboratorium,Dokumenterad,00072EACB8,,6615446,418030,6618735,1372633,WGS84-UTM Zon 33,Mindre bra,UI404111 G70-14 +,V2015-0175,,2-1763,Forshaga (S),2-17,Värmlands län (S)
M407510,D442877,Varg,Licensjakt,,2015.01.17,Nej,,Unge,Ja,Nej,Hane,0,0,SVA,"40,00","0,00",,Nej,Nej,2015.01.17,Laboratorium,Dokumenterad,00072EE2E3,,6607173,407985,6610580,1362483,RT90,Mindre bra,UI404969 G36-15 +,V2015-0168,,2-1715,Kil (S),2-17,Värmlands län (S)
M407511,D442878,Varg,Licensjakt,,2015.01.17,Nej,,Vuxen,Ja,Nej,Hona,1,1,SVA,"30,50","0,00",,Nej,Nej,2015.01.17,Laboratorium,Dokumenterad,,,6618585,406532,6622015,1361168,RT90,Mindre bra,UI404148 G80-14 +,V2015-0170,,2-1766,Sunne (S),2-17,Värmlands län (S)
M407512,D442899,Varg,Licensjakt,,2015.01.17,Nej,13:55,Vuxen,Ja,Nej,Hane,3,3,SVA,"41,00","0,00",,Ja,Ja,2015.01.17,Laboratorium,Dokumenterad,00072B8BD5,Bredsjön,6630073,501301,6632355,1456116,RT90,Mycket bra,UI404093 G58-14 +,V2015-0165,,2-1864,Ljusnarsberg (S),2-18,Örebro län (S)
M407518,D442917,Varg,Licensjakt,,2015.01.17,Nej,14:15,Vuxen,Ja,Nej,Hane,4,4,SVA,"53,00","0,00",,Nej,Ja,2015.01.17,Laboratorium,Dokumenterad,00072EC3B0,Greppsjön,6609197,486935,6611646,1441491,RT90,Mycket bra,UI040713 G67-12 +,V2015-0176,,2-1884,Nora (S),2-18,Örebro län (S)
M407513,D442906,Varg,Licensjakt,,2015.01.18,Nej,14:35,Vuxen,Ja,Nej,Hona,3,3,SVA,"29,00","0,00",,Nej,Ja,2015.01.18,Laboratorium,Dokumenterad,00072BD2A1,Midtjärnstorp,6624120,500272,6626412,1455014,RT90,Mycket bra,UI404165 G88-14 +,V2015-0161,,2-1885,Lindesberg (S),2-18,Örebro län (S)
M407514,D442907,Varg,Licensjakt,,2015.01.18,Nej,14:30,Unge,Ja,Nej,Hane,0,0,SVA,"33,50","0,00",,Nej,Ja,2015.01.18,Laboratorium,Dokumenterad,00072BD88E,Lönnhult,6616046,497183,6618373,1451826,RT90,Mycket bra,UI404960 G31-15 +,V2015-0160,,2-1884,Nora (S),2-18,Örebro län (S)
M407558,D443144,Varg,Licensjakt,,2015.01.18,Nej,16:30,Vuxen,Ja,Nej,Hane,4,4,SVA,"40,00","34,50",,Nej,Ja,2015.01.18,Laboratorium,Dokumenterad,00072EC96D,,6690229,380572,6694010,1336070,RT90,Mindre bra,UI040289 G32-12 +,V2015-0201,,2-1737,Torsby (S),2-17,Värmlands län (S)
M407559,D443145,Varg,Licensjakt,,2015.01.18,Nej,14:45,Unge,Ja,Nej,Hona,0,0,SVA,"29,00","25,00",,Nej,Ja,2015.01.18,Laboratorium,Dokumenterad,00072EC184,,6687935,380940,6691710,1336410,RT90,Mindre bra,UI404973 G45-15 +,V2015-0205,,2-1737,Torsby (S),2-17,Värmlands län (S)
M407560,D443146,Varg,Licensjakt,,2015.01.18,Nej,14:40,Unge,Ja,Nej,Hane,0,0,SVA,"37,50","32,50",,Nej,Ja,2015.01.18,Laboratorium,Dokumenterad,00072EF51B,,6688262,381526,6692030,1337000,RT90,Mindre bra,UI404918 G2-15 +,V2015-0200,,2-1737,Torsby (S),2-17,Värmlands län (S)
M407521,D442937,Varg,Licensjakt,,2015.01.19,Nej,14:50,Vuxen,Ja,Nej,Hona,7,7,SVA,"36,00","0,00",,Nej,Nej,2015.01.19,Laboratorium,Dokumenterad,00072EF795,Västgöthyttan,6596475,490307,6598878,1444709,WGS84-UTM Zon 33,Mindre bra,UI040292 G40-11 +,V2015-0208,,2-1884,Nora (S),2-18,Örebro län (S)
M407526,D442965,Varg,Licensjakt,,2015.01.20,Nej,,Vuxen,Ja,Nej,Hane,3,3,SVA,"41,50","0,00",,Nej,Nej,2015.01.20,Laboratorium,Dokumenterad,00072EC234,,6635948,409182,6639354,1364031,WGS84-UTM Zon 33,Mindre bra,UI040820 G121-13 +,V2015-0203,,2-1762,Munkfors (S),2-17,Värmlands län (S)
M407527,D442983,Varg,Licensjakt,,2015.01.20,Nej,15:00,Unge,Ja,Nej,Hane,0,0,SVA,"34,00","0,00",,Nej,Ja,2015.01.20,Laboratorium,Dokumenterad,00072EFB6D,Södra Boråsen,6636556,409551,6639958,1364407,RT90,Mycket bra,UI404972 G44-15 +,V2015-0202,VS202015FW,2-1762,Munkfors (S),2-17,Värmlands län (S)
M407529,D442986,Varg,Licensjakt,,2015.01.20,Nej,10:45,Vuxen,Ja,Nej,Hane,4,4,SVA,"38,50","0,00",,Nej,Nej,2015.01.20,Laboratorium,Dokumenterad,00072EF78C,Myggsjön,6628304,499013,6630613,1453805,WGS84-UTM Zon 33,Mindre bra,UI403653 G154-13 +,V2015-0204,,2-1864,Ljusnarsberg (S),2-18,Örebro län (S)
M407528,D442985,Varg,Licensjakt,,2015.01.21,Nej,14:10,Unge,Ja,Nej,Hona,0,0,SVA,"30,00","0,00",,Nej,Ja,2015.01.21,Laboratorium,Dokumenterad,00072EC8B0,Härsbotten,6607296,407802,6610705,1362302,RT90,Mycket bra,UI404974 G42-15 +,V2015-0206,VS222015FW,2-1715,Kil (S),2-17,Värmlands län (S)
M407531,D443022,Varg,Licensjakt,,2015.01.22,Nej,14:45,Vuxen,Ja,Nej,Hane,4,4,SVA,"46,00","0,00",,Nej,Ja,2015.01.22,Laboratorium,Dokumenterad,00072EE22B,Västgöthyttan,6598023,491777,6600409,1446199,WGS84-UTM Zon 33,Mindre bra,UI040263 G107-11 +,V2015-0209,,2-1884,Nora (S),2-18,Örebro län (S)
M407532,D443023,Varg,Licensjakt,,2015.01.22,Nej,11:00,Unge,Ja,Nej,Hona,0,0,SVA,"25,00","0,00",,Nej,Ja,2015.01.22,Laboratorium,Dokumenterad,00072EF3FC,Laggarmyren,6618673,499074,6620978,1453749,WGS84-UTM Zon 33,Mindre bra,UI404980 G48-15 +,V2015-0210,,2-1885,Lindesberg (S),2-18,Örebro län (S)
M407538,D443060,Varg,Licensjakt,,2015.01.24,Nej,11:00,Unge,Ja,Nej,Hona,0,0,SVA,"27,20","0,00",,Nej,Nej,2015.01.24,Laboratorium,Dokumenterad,00072EF20D,,6730423,483399,6732960,1439434,RT90,Mycket bra,UI404985 G50-15 +,V2015-0242,,2-2029,Leksand (S),2-20,Dalarnas län (S)
M407539,D443061,Varg,Licensjakt,,2015.01.24,Nej,12:44,Vuxen,Ja,Nej,Hona,1,1,SVA,"32,60","0,00",,Nej,Nej,2015.01.24,Laboratorium,Dokumenterad,00072ED014,,6718742,493447,6721152,1449342,RT90,Mycket bra,UI403965 G176-13 +,V2015-0243,,2-2029,Leksand (S),2-20,Dalarnas län (S)
M407540,D443062,Varg,Licensjakt,,2015.01.24,Nej,14:45,Unge,Ja,Nej,Hane,0,0,SVA,"27,50","0,00",,Nej,Ja,2015.01.24,Laboratorium,Dokumenterad,00072EE182,,6718531,384090,6722282,1339937,RT90,Mindre bra,UI404983 G47-15 +,V2015-0240,VS252015PL,2-1737,Torsby (S),2-17,Värmlands län (S)
M407541,D443064,Varg,Licensjakt,,2015.01.24,Nej,,Unge,Ja,Nej,Hane,0,0,SVA,"31,00","0,00",,Nej,Ja,2015.01.24,Laboratorium,Dokumenterad,00072EEF5E,Sydost Björnmossen,6606081,408019,6609487,1362504,RT90,Mindre bra,UI405062 G43-15 +,V2015-0238,VS242015FW,2-1715,Kil (S),2-17,Värmlands län (S)
M407542,D443067,Varg,Licensjakt,,2015.01.24,Nej,12:10,Vuxen,Ja,Nej,Hona,1,1,SVA,"30,00","30,00",,Ja,Ja,2015.01.24,Laboratorium,Dokumenterad,00072BCF12,Björnhyttan / Olsöreviret,6665753,500711,6668055,1455960,RT90,Mycket bra,UI404487 G112-14 +,V2015-0244,,2-2085,Ludvika (S),2-20,Dalarnas län (S)
