HändelseID,Individ,Fynddatum,Undersökt,Undersökt datum,Datum mottaget,Skada på,Ange vad som skadats,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Antal döda under 1 år,Antal avlivade under 1 år,Antal skadade under 1 år,Antal saknade under 1 år,Antal döda 1 till 2 år,Antal avlivade 1 till 2 år,Antal skadade 1 till 2 år,Antal saknade 1 till 2 år,Antal döda över 2 år,Antal avlivade över 2 år,Antal skadade över 2 år,Antal saknade över 2 år,Antal döda körren,Antal avlivade körren,Antal skadade körren,Antal saknade körren,Skadeomfattning antal (inte djur),Skadeorsak,Ange skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Visa publikt,Uppgifterna tillgängliga från,Låst,Låst datum,Senast sparad datum,Kommunenummer,Kommune,Fylkenummer,Fylke
V446197,,2013.01.21,Ja,,,Ren,,,,2013.01.21,2013.01.21,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Lillselebodarna,7082221,601852,7083390,1562307,RT90,Exakt,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446198,,2013.02.14,Ja,,,Ren,,,,2013.02.14,2013.02.14,Ja,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Öst Hembäcken,7078232,602060,7079398,1562465,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446199,,2013.02.17,Ja,,,Ren,,,,2013.02.17,2013.02.17,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Väster älven,7081433,605258,7082559,1565704,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446200,,2013.02.08,Ja,2013.02.08,2013.02.08,Ren,,,,2013.02.08,2013.02.08,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Tärniksbergsvägen,7071508,606755,7072613,1567076,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446201,,2013.02.14,Ja,2013.02.14,,Ren,,,,2013.02.14,2013.02.14,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Söder Matrialvägen,7078041,602458,7079202,1562860,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446202,,2013.02.17,Ja,2013.02.17,,Ren,,,,2013.02.17,2013.02.17,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Väster älven Gultjäl,7080900,605650,7082021,1566089,RT90,Exakt,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446203,,2013.02.05,Ja,2013.02.05,,Ren,,,,2013.02.05,2013.02.05,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2463,Nordväst Gafsele,7101994,611359,7103048,1572066,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2463,Åsele (S),2-24,Västerbottens län (S)
V446204,,2013.02.01,Ja,2013.02.01,,Ren,,,,2013.02.01,2013.02.01,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2284,,7081870,608327,7082957,1568779,RT90,Exakt,2013.02.17,Ja,,Nej,,2013.02.17,2-2284,Örnsköldsvik (S),2-22,Västernorrlands län (S)
V446205,,2013.01.29,Ja,2013.01.29,,Ren,,,,2013.01.29,2013.01.29,Ja,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Matrialvägen,7078236,602520,7079396,1562925,RT90,Exakt,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V446206,,2012.12.04,Ja,2012.12.04,,Ren,,,,2012.12.04,2012.12.04,Ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Huvudklädmyran,7069696,608318,7070781,1568616,RT90,Mindre bra,2013.02.17,Ja,,Nej,,2013.02.17,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
