"NAME_2","NAME_1","Autumn","sum_fate","n_territories","prop_disappearance","ruggedness_mean","average_gravel_km","average_paved_km","pop_mean","mean_snow","mean_artificial_area_total","hunt_county2","mean_fi","mean_maxfi","mean_number_neighbour_terr","mean_bear_density_BZtiff","wolfLKill_n","wolfLKill_last5y","sheepAttacks_n","NoAffectedSheep_last5y","AttackDogs_n","AttackDogs_last5y","IndividualIncome"
"Falun","Dalarna",2009,0,1,0,0.185,1.39,0.2,0.565225343527189,82.3513513513514,0.00253,-0.227502673931214,-0.179528270184962,0.267578,0,-1.40675812556822,NA,0,-0.533357522431621,50,0.068979188669255,7,269265
"Falun","Dalarna",2010,0,2,0,0.173,1.255,0.25,-0.475517387505303,85.7136363636364,0.001645,-0.227502673931214,0.561710104670447,0.333008,1.5,-0.337780014908143,NA,0,-0.533357522431621,50,0.068979188669255,7,266235
"Falun","Dalarna",2011,2,5,0.4,0.1732,1.248,0.258,-0.697326682599734,83.1958333333333,0.001368,-0.702820760537503,0.249175548078118,0.3492678,3.6,-0.0736644238869561,NA,0,0.457163590655676,7,2.7591675467702,8,265750
"Falun","Dalarna",2012,1,2,0.5,0.1765,1.35,0.265,-0.466623670781389,75.3791824494949,0.00258,-2.60409310696266,-0.558440083172718,0.234131,1.5,-1.16212980200194,NA,0,2.93346637337392,58,0.068979188669255,9,274342
"Falun","Dalarna",2013,1,3,0.333333333333333,0.176666666666667,1.16666666666667,0.2,-1.46858979689761,80.203227124183,0,0.0365629297389459,-1.64632229040995,0.211344666666667,2,0.921301543896038,NA,0,-0.0380969658879729,59,0.068979188669255,8,280604
"Falun","Dalarna",2014,1,3,0.333333333333333,0.177666666666667,1.26333333333333,0.196666666666667,-0.484351812784391,78.6132137911372,0,-0.491568277601373,-0.707794196800036,0.303792333333333,3,1.02838341005874,NA,0,-0.533357522431621,59,-0.82775026403106,7,286988
"Falun","Dalarna",2015,0,2,0,0.182,1.245,0.215,-0.138979146672373,76.7624327956989,0,0.960792542584508,1.48272399183795,0.414307,5.5,1.61568701750676,NA,0,-0.533357522431621,59,0.068979188669255,7,295591
"Falun","Dalarna",2016,0,3,0,0.178333333333333,1.21333333333333,0.22,-0.86773029502994,78.5229166666667,0.000476666666666667,0.0365629297389494,-0.63876450862256,0.365143,4,0.140896358112457,NA,0,0.952424147199324,60,-0.82775026403106,3,302223
"Falun","Dalarna",2017,0,1,0,0.193,1.4,0.24,1.95371239846474,74.234375,0.00253,0.564694137079269,1.48272399183795,0.414307,0,-0.169855784705531,NA,0,-0.533357522431621,9,-0.82775026403106,2,305524
"Falun","Dalarna",2018,0,1,0,0.204,1.43,0.25,1.93948245170648,82.3489583333333,0.00368,1.35689094808975,1.48272399183795,0.414307,1,0.445443876287104,NA,0,-0.533357522431621,8,-0.82775026403106,1,307747
"Falun","Dalarna",2019,0,2,0,0.188,1.28,0.19,0.0148821526513504,84.4767156862745,0.00166,0.564694137079269,-0.0766691256870303,0.2766575,2.5,1.06095190154015,NA,0,-0.0380969658879729,13,0.068979188669255,2,309927
"Filipstad","Värmland",1998,1,2,0.5,0.338,1.045,0.28,-1.55344371620982,NA,0.00134,1.28180602588239,1.22052443447845,0.375,1,-1.12253573109687,NA,NA,-0.471175628075041,0,-0.969887836143006,0,196936
"Filipstad","Värmland",2000,0,1,0,0.333,1.17,0.35,0.697393818656522,64.9586693548387,0.00375,1.89450541609932,1.22052443447845,0.375,0,-1.14286058072407,-0.376232006411049,0,-0.471175628075041,0,-0.969887836143006,0,207053
"Filipstad","Värmland",2001,0,1,0,0.357,1.13,0.25,1.43587244365356,74.578431372549,0,1.71944844746591,-2.49862930300784,0.375,1,-1.13086157311283,-0.376232006411049,0,-0.471175628075041,0,-0.969887836143006,0,209638
"Filipstad","Värmland",2004,0,1,0,0.342,1.2,0.31,0.951577736560585,81.515625,0.00375,0.406521182715356,0.0582888915139889,0.296875,0,-1.14163619219231,-0.376232006411049,0,1.54814849224656,15,-0.0606179897589379,3,219911
"Filipstad","Värmland",2007,0,3,0,0.327666666666667,1.07333333333333,0.293333333333333,0.144089475913453,69.9915285244922,0.000806666666666667,-0.118649723184865,0.616404936847782,0.334391333333333,2,-1.02654367020699,-0.376232006411049,0,-0.471175628075041,48,-0.0606179897589379,4,226802
"Filipstad","Värmland",2008,0,3,0,0.336333333333333,1.07666666666667,0.29,0.466574996270102,76.7930976430976,0.00134,-0.381235176134976,0.70357198271116,0.340250666666667,2.33333333333333,0.890359015114562,-0.376232006411049,0,-0.471175628075041,43,1.7579217030092,5,227718
"Filipstad","Värmland",2009,0,2,0,0.3405,1.045,0.255,-0.167468732095046,82.6778273809524,0.00022,-0.24994244965992,0.895462959514678,0.3531495,2,1.2967335688053,0.15049280256442,1,-0.471175628075041,33,0.84865185662513,6,231812
"Filipstad","Värmland",2010,1,2,0.5,0.32,1.09,0.27,-1.67168526019305,82.5034722222222,0.0013,-0.293706691818272,-0.679003583712769,0.248291,3,1.50243084214078,0.677217611539888,3,2.55781055240737,18,-0.969887836143006,6,226569
"Filipstad","Värmland",2011,0,2,0,0.3335,1.085,0.265,-0.321465952552243,82.3409090909091,0.00162,-0.0748854810265131,0.207196368855465,0.3068845,3,1.22143367410214,-0.376232006411049,3,-0.471175628075041,18,0.84865185662513,8,225496
"Filipstad","Värmland",2012,0,2,0,0.3505,1.135,0.3,-0.377612985114339,68.6983428030303,0.002135,0.406521182715356,0.599001776792171,0.3332215,4.5,-0.717018249378366,-0.376232006411049,3,-0.471175628075041,18,1.7579217030092,10,229056
"Filipstad","Värmland",2013,1,2,0.5,0.349,1.15,0.335,-0.354955922794199,80.8440285204991,0.003215,-0.118649723184865,0.256229691730484,0.3332215,5,-0.0458084562682019,-0.376232006411049,3,-0.471175628075041,18,0.84865185662513,9,234539
"Filipstad","Värmland",2015,1,3,0.333333333333333,0.356,1.09666666666667,0.286666666666667,-1.38460139971161,77.7192760942761,0.000633333333333333,-1.22734385786311,-1.16372584919101,0.227681333333333,5,0.496187533790352,-0.376232006411049,0,1.54814849224656,31,-0.0606179897589379,8,238754
