mod_id,id,sex,Country_fatefile,territory,Revir_Vinter,Autumn,Spring,Fate,confirmed.illegal,Radio.collar,Comment,geometry,NAME_1,NAME_2,KommunerNamn,SLU.ID,ruggedness_mean,average_gravel_km,average_paved_km,artificial_area_total,pop_mean,mean_snow,hunt_afo,hunt_county2,Fi,number_neighbour_terr,bear_density_BZtiff,mean_fi,max_fi,wolfLKill_cumall,wolfLKill_last5y,wolfLKill_n,NoAffectedSheep_cumall,NoAffectedSheep_last5y,NoAffectedSheep,sheepAttacks_n,AttackDogs_cumall,AttackDogs_last5y,AttackDogs_n,IndividualIncome,income_prop,year_average,first_yeardet,last_yeardet,years_firstdet,time_start,time_end
21,G187-17,M,S,Glamsen 3,Glamsen_1920,2019,2020,censored,NA,0,NA,list(),Uppsala,Älvkarleby,NA,G187-17,0.034,1.25,0.3,0.02856,39.967,79.4007936507937,2.9,2.6,0.400426,0,6.4018e-4,0.2696405,0.400426,0,0,0,0,0,0,0,0,0,0,284298,0.9355520368417902,303882.6156156156,2019,2019,0,0,1
22,G66-12,F,S,Glamsen 3,Glamsen_1920,2019,2020,natural,NA,0,NA,list(),Uppsala,Älvkarleby,NA,G66-12,0.034,1.25,0.3,0.02856,39.967,79.4007936507937,2.9,2.6,0.138855,0,6.4018e-4,0.2696405,0.400426,0,0,0,0,0,0,0,0,0,0,284298,0.9355520368417902,303882.6156156156,2019,2019,0,0,1
161,G12-16,M,S,Glamsen 2,Glamsen_1819,2018,2019,illegal,NA,0,NA,list(),Uppsala,Älvkarleby,älvkarleby,G12-16,0.033,1.24,0.29,0.02917,39.667,82.358024691358,2.8,2.9,0.231424,0,7.266e-4,0.1851395,0.231424,0,0,0,0,0,0,0,0,0,0,281597,0.9349572029242013,301187.04804804805,2017,2018,1,1,2
162,G66-12,F,S,Glamsen 2,Glamsen_1819,2018,2019,NA,NA,0,NA,list(),Uppsala,Älvkarleby,älvkarleby,G66-12,0.033,1.24,0.29,0.02917,39.667,82.358024691358,2.8,2.9,0.138855,0,7.266e-4,0.1851395,0.231424,0,0,0,0,0,0,0,0,0,0,281597,0.9349572029242013,301187.04804804805,2017,2018,1,1,2
23,G13-16,M,S,Glaskogen 5,Glaskogen_1920,2019,2020,illegal,NA,0,NA,list(),Värmland,Årjäng,NA,G13-16,0.366,1.08,0.22,0,11.1,74.296875,2.5,2.6,0.205933,5,5.56e-6,0.20644099999999999,0.206949,1,0,0,17,0,0,0,14,1,0,294658,0.9696441482941428,303882.6156156156,2019,2019,0,0,1
24,G250-17,F,S,Glaskogen 5,Glaskogen_1920,2019,2020,NA,NA,0,NA,list(),Värmland,Årjäng,NA,G250-17,0.366,1.08,0.22,0,11.1,74.296875,2.5,2.6,0.206949,5,5.56e-6,0.20644099999999999,0.206949,1,0,0,17,0,0,0,14,1,0,294658,0.9696441482941428,303882.6156156156,2019,2019,0,0,1
43,G17-20,M,S,Järnsjön,Järnsjön_1920,2019,2020,censored,NA,0,NA,list(),Värmland,Årjäng,NA,G17-20,0.409,1.1,0.32,0.00122,10.267,68.7552083333333,2.5,2.6,0.400426,4,0,0.37356049999999996,0.400426,1,0,0,17,0,0,0,14,1,0,294658,0.9696441482941428,303882.6156156156,2019,2019,0,0,1
44,G63-19,F,S,Järnsjön,Järnsjön_1920,2019,2020,censored,NA,0,NA,list(),Värmland,Årjäng,NA,G63-19,0.409,1.1,0.32,0.00122,10.267,68.7552083333333,2.5,2.6,0.346695,4,0,0.37356049999999996,0.400426,1,0,0,17,0,0,0,14,1,0,294658,0.9696441482941428,303882.6156156156,2019,2019,0,0,1
163,G13-16,M,S,Glaskogen 4,Glaskogen_1819,2018,2019,illegal,NA,0,NA,list(),Värmland,Årjäng,årjäng,G13-16,0.375,1.07,0.22,4.7e-4,11.133,82.8125,2.1,2.3,0.205933,3,0,0.2515565,0.29718,1,0,0,17,0,0,0,14,6,0,285176,0.9468401840257957,301187.04804804805,2017,2018,1,1,2
164,G56-11,F,S,Glaskogen 4,Glaskogen_1819,2018,2019,other,NA,0,Old age,list(),Värmland,Årjäng,årjäng,G56-11,0.375,1.07,0.22,4.7e-4,11.133,82.8125,2.1,2.3,0.29718,3,0,0.2515565,0.29718,1,0,0,17,0,0,0,14,6,0,285176,0.9468401840257957,301187.04804804805,2017,2018,1,1,2
