mod_id;id;sex;Country_fatefile;territory;Revir_Vinter;Autumn;Spring;Fate;Fate_binary;confirmed.illegal;Radio.collar;Comment;geometry;NAME_1;NAME_2;KommunerNamn;SLU.ID;ruggedness_mean;average_gravel_km;average_paved_km;artificial_area_total;pop_mean;mean_snow;hunt_afo;hunt_county2;Fi;number_neighbour_terr;bear_density_BZtiff;mean_fi;max_fi;wolfLKill_cumall;wolfLKill_last5y;wolfLKill_n;NoAffectedSheep_cumall;NoAffectedSheep_last5y;NoAffectedSheep;sheepAttacks_n;AttackDogs_cumall;AttackDogs_last5y;AttackDogs_n;IndividualIncome;income_prop;wolfPopSize;year_average;first_yeardet;last_yeardet;years_firstdet;time_start;time_end;ruggedness_mean_sc;average_gravel_km_sc;average_paved_km_sc;artificial_area_total_sc;pop_mean_sc;mean_snow_sc;hunt_afo_sc;hunt_county2_sc;bear_density_BZtiff_sc;Fi_sc;mean_fi_sc;max_fi_sc;IndividualIncome_sc;income_prop_sc
1643;M-05-02;M;S;Amungen 1;Amungen_0506;2005;2006;NA;0;NA;1;NA;c(15.5518678079961, 15.2614425995203, 15.0774422417646, 14.9254514732231, 61.003674828286, 61.2119614702446, 61.0614207124423, 60.9743839434029);Dalarna;Rättvik;rättvik;M-05-02;0,157;1,01;0,12;0,00000;13,300;83,5312500000000;NA;2,9;0,281250;2;0,00143144;0,234375000000000;0,281250;0;0;0;15;15;15;3;8;7;4;220889;0,907740093345292;27;243339,477477477;2003;2006;2;2;3;-1,28962682463847167;-0,7930450701597147;-1,15535963918325546;-0,55563984630167829;-0,223099865969829503;0,766909825534476619;NA;0,339210421187188;0,81225530832865278;0,495096039320999770;0,028104947611056193;0,06204478635132210;-0,949114231759143778;-0,51544003711222441
1585;M-05-02;M;S;Amungen 1;Amungen_0607;2006;2007;illegal;1;NA;1;NA;c(15.3784131602033, 15.4985615513377, 15.6025610293887, 15.6511409968985, 15.6680522837716, 61.5300125139993, 61.3544508366238, 61.4569472119189, 61.4920084025135, 61.4884371403247);Gävleborg;Ovanåker;ovanåker;M-05-02;0,160;1,01;0,12;0,00000;13,300;84,4731182795699;NA;2,7;0,281250;1;0,00110111;0,234375000000000;0,281250;0;0;0;40;40;0;0;11;11;5;236868;0,960842296566879;30;246521,204204204;2003;2006;3;3;4;-1,25496804749127699;-0,7930450701597147;-1,15535963918325546;-0,55563984630167829;-0,223099865969829503;0,873801906740356404;NA;0,034206092892826;0,47831227189584091;0,495096039320999770;0,028104947611056193;0,06204478635132210;-0,637912845070482848;-0,16116849822893847
259;G87-17;F;S;Andån;Andån_1718;2017;2018;NA;0;NA;0;NA;list();Gävleborg;Ljusdal;ljusdal;G87-17;0,187;1,18;0,25;0,00033;8,200;83,8593750000000;2,7;2,9;0,233883;2;0,00207999;0,150610000000000;0,233883;2;2;0;48;29;0;0;17;8;0;262062;0,880470874589987;72;297638,465465465;2017;2019;0;0;1;-0,94303905316652625;-0,0953750801771960;-0,44508919511847578;-0,49619058623043405;-0,369917895907805161;0,804148540232136444;-0,44380311777015563;0,339210421187188;1,46789892616082085;-0,004640757652207959;-1,155386360095061349;-0,56326362859924661;-0,147243357853878154;-0,69736672765412888
133;G87-17;F;S;Andån;Andån_1819;2018;2019;NA;0;NA;0;NA;list();Gävleborg;Ljusdal;ljusdal;G87-17;0,188;1,18;0,26;0,00033;8,233;82,1718750000000;2,6;3,0;0,233883;2;0,00319843;0,150610000000000;0,233883;4;4;2;48;25;0;0;17;4;0;264917;0,879576335426409;65;301187,048048048;2017;2019;1;1;2;-0,93148612745079473;-0,0953750801771960;-0,39045300711349268;-0,49619058623043405;-0,368967896890559366;0,612635150358457392;-0,44476979685620777;0,491712585334369;2,59857203991952934;-0,004640757652207959;-1,155386360095061349;-0,56326362859924661;-0,091640381510169081;-0,70333464888612673
1;G87-17;F;S;Andån;Andån_1920;2019;2020;NA;0;NA;0;NA;c(16.0159246717567, 15.5215771720869, 15.5686808329458, 62.1031297042508, 62.0692934021934, 61.7196460726044);Gävleborg;Ljusdal;NA;G87-17;0,180;1,17;0,20;0,00000;8,200;84,7150537634409;1,9;2,6;0,233883;2;0,00352884;0,150610000000000;0,233883;4;2;0;49;24;1;1;20;6;3;268957;0,885068727788649;68;303882,615615616;2017;2019;2;2;3;-1,02390953317664679;-0,1364144913526384;-0,71827013514339100;-0,55563984630167829;-0,369917895907805161;0,901259023568128148;-0,45153655045857255;-0,118296071254355;2,93259595136494866;-0,004640757652207959;-1,155386360095061349;-0,56326362859924661;-0,012958761745340842;-0,66669213358027479
545;M-15-01/G140-13;F;S;Aspafallet 2;Aspafallet_1516;2015;2016;NA;0;NA;1;NA;list();Orebro;Lindesberg;köping;G140-13;0,235;1,17;0,38;0,00140;22,067;61,0050505050505;2,2;2,4;0,292480;3;0,00000207;0,294921500000000;0,297363;6;5;4;52;24;0;0;3;3;0;267085;0,932769577705882;74;286335,453453453;2015;2016;0;0;1;-0,38849861881141379;-0,1364144913526384;0,26518124894630402;-0,30343086418124821;0,029283206278451289;-1,789575404835026529;-0,44863651320041614;-0,423300399548717;-0,63274865130555646;0,613576083022503549;0,883548825866036669;0,27475816254357638;-0,049417175656172145;-0,34845574260226098
400;M-15-01/G140-13;F;S;Aspafallet 2;Aspafallet_1617;2016;2017;NA;0;NA;1;NA;list();Orebro;Lindesberg;lindesberg;G140-13;0,235;1,21;0,39;0,00347;22,267;62,1333333333333;2,2;2,4;0,292480;5;0,00000036;0,294921500000000;0,297363;6;5;0;52;24;0;0;3;3;0;274341;0,935995286927769;76;293100,834834835;2015;2016;1;1;2;-0,38849861881141379;0,0277431533491309;0,31981743695128712;0,06947813081110198;0,035040776079940508;-1,661527245320537194;-0,44863651320041614;-0,423300399548717;-0,63447735470004096;0,613576083022503549;0,883548825866036669;0,27475816254357638;0,091898129545212440;-0,32693541198133613
261;M-15-01/G140-13;F;S;Aspafallet 3;Aspafallet_1718;2017;2018;NA;0;NA;1;NA;list();Orebro;Lindesberg;lindesberg;G140-13;0,224;1,16;0,41;0,00028;27,450;61,1616161616162;1,8;2,2;0,292480;3;0,00000319;0,260825000000000;0,292480;6;4;0;53;13;1;1;3;1;0;281277;0,945029062557898;72;297638,465465465;2017;2019;0;0;1;-0,51558080168446019;-0,1774539025280807;0,42908981296125304;-0,50519804987759231;0,184248197485534143;-1,771806859871058570;-0,45250322954462463;-0,728304727843079;-0,63161640112905182;0,613576083022503549;0,401809300130925307;0,21029596332885706;0,226981227240472011;-0,26666654552664176
135;M-15-01/G140-13;F;S;Aspafallet 3;Aspafallet_1819;2018;2019;NA;0;NA;1;NA;list();Orebro;Lindesberg;lindesberg;G140-13;0,237;1,18;0,37;0,00182;22,433;81,6354166666667;2,0;2,1;0,292480;5;0,00000061;0,260825000000000;0,292480;6;4;0;53;1;0;0;3;1;0;281852;0,935803852876955;65;301187,048048048;2017;2019;1;1;2;-0,36539276737995074;-0,0953750801771960;0,21054506094132089;-0,22776816954511919;0,039819559015176587;0,551752807281334801;-0,45056987137252041;-0,880806891990260;-0,63422462028564275;0,613576083022503549;0,401809300130925307;0,21029596332885706;0,238179725103040391;-0,32821256493662165
3;M-15-01/G140-13;F;S;Aspafallet 3;Aspafallet_1920;2019;2020;NA;0;NA;1;NA;list();Orebro;Lindesberg;NA;G140-13;0,236;1,19;0,38;0,00131;22,400;65,0937500000000;2,3;2,2;0,292480;4;0,00000484;0,260825000000000;0,292480;6;4;0;68;16;15;2;3;0;0;282049;0,928151152801603;68;303882,615615616;2017;2019;2;2;3;-0,37694569309568227;-0,0543356690017537;0,26518124894630402;-0,31964429874613298;0,038869559997930826;-1,325551286048313182;-0,44766983411436412;-0,728304727843079;-0,62994835399402282;0,613576083022503549;0,401809300130925307;0,21029596332885706;0,242016427848998600;-0,37926758088377943
1204;G69-10;M;N;Aurskog 1;Aurskog_1011;2010;2011;NA;0;NA;0;NA;list();Akershus;Aurskog-Høland;aurskog-høland;G69-10;0,333;1,12;0,67;0,00149;135,265;81,7708333333333;NA;3,3;0,214844;1;0,00000000;0,235901000000000;0,256958;0;0;0;0;0;0;0;0;0;0;325300;1,263826797105613;60;257392,864864865;2010;2011;0;0;1;0,74368810133027485;-0,3416115472298491;1,84963070109081285;-0,28721742961636343;3,288010138223345535;0,567121165727980547;NA;0,949219077775911;-0,63484129225677466;-0,205508215535816857;0,049665357514471313;-0,25864244349180082;1,084357699247163520;1,86019368171177990
1085;G69-10;M;N;Aurskog 1;Aurskog_1112;2011;2012;illegal;1;NA;0;NA;list();Akershus;Aurskog-Høland;aurskog-høland;G69-10;0,291;1,49;0,47;0,00092;26,048;82,3939393939394;NA;3,0;0,214844;0;0,00000110;0,235901000000000;0,256958;0;0;0;0;0;0;0;0;0;0;337300;1,306417016159302;61;258187,084084084;2010;2011;1;1;2;0,25846522126955085;1,1768466662615151;0,75690694099115130;-0,38990251519396713;0,143887633177094548;0,637837108790208274;NA;0,491712585334369;-0,63372926083342196;-0,205508215535816857;0,049665357514471313;-0,25864244349180082;1,318065480726851479;2,14433448058908782
956;G111-10;M;N;Aurskog 3;Aurskog_1213;2012;2013;illegal;1;NA;0;NA;list();Akershus;Aurskog-Høland;aurskog-høland;G111-10;0,314;1,43;0,51;0,00092;29,714;72,0220352564102;351,8;3,0;0,256958;2;0,00000000;0,255783000000000;0,256958;0;0;0;0;0;0;0;0;0;0;352600;1,329863935283801;66;265139,906906907;2012;2012;0;0;1;0,52418251273137595;0,9306101992088612;0,97545169301108381;-0,38990251519396713;0,249423887638392322;-0,539264236882713077;2,93087357163775586;0,491712585334369;-0,63484129225677466;0,238807773818156988;0,330572349453980341;-0,25864244349180082;1,616042902113453472;2,30076068546134671
547;G107-16;M;N;Aurskog 4;Aurskog_1516;2015;2016;NA;0;NA;0;NA;list();Akershus;Aurskog-Høland;aurskog-høland;G107-16;0,339;1,13;0,67;0,00149;72,368;65,2968750000000;233,4;2,4;0,310600;3;0,00001440;0,301937000000000;0,310600;0;0;0;0;0;0;0;0;0;0;392600;1,371119067739968;74;286335,453453453;2015;2016;0;0;1;0,81300565562466398;-0,3005721360544077;1,84963070109081285;-0,28721742961636343;1,477340799202002231;-1,302498748378333460;1,78632553375205894;-0,423300399548717;-0,62028378998743039;0,804747800909524247;0,982668783714926719;0,44950445191593852;2,395068840379079411;2,57599444932405897
402;G107-16;M;N;Aurskog 4;Aurskog_1617;2016;2017;illegal;1;NA;0;NA;list();Akershus;Aurskog-Høland;aurskog-høland;G107-16;0,353;1,06;0,70;0,00149;149,427;70,8352941176471;141,9;2,1;0,310600;3;0,00000740;0,301937000000000;0,310600;0;0;0;0;0;0;0;0;0;0;400700;1,367106307376430;76;293100,834834835;2015;2016;1;1;2;0,97474661564490461;-0,5878480142825031;2,01353926510576153;-0,28721742961636343;3,695703655866799053;-0,673946795926904763;0,90181417001437958;-0,880806891990260;-0,62736035359058384;0,804747800909524247;0,982668783714926719;0,44950445191593852;2,552821592877868806;2,54922330419419962
137;G35-16;M;N;Aurskog 5;Aurskog_1819;2018;2019;NA;0;NA;0;NA;list();Akershus;Aurskog-Høland;aurskog-høland;G35-16;0,353;1,06;0,70;0,00149;153,698;82,0555555555556;140,7;2,0;0,310600;4;0,00000118;0,299038000000000;0,310600;0;0;0;0;0;0;0;0;0;0;424300;1,408759117464812;65;301187,048048048;2018;2019;0;0;1;0,97474661564490461;-0,5878480142825031;2,01353926510576153;-0,28721742961636343;3,818656558977602256;0,599434124513260280;0,89021402098175417;-1,033309056137441;-0,63364838582081440;0,804747800909524247;0,941709656382030857;0,44950445191593852;3,012446896454588519;2,82711017580380597
5;G35-16;M;N;Aurskog 5;Aurskog_1920;2019;2020;NA;0;NA;0;NA;list();Akershus;Aurskog-Høland;NA;G35-16;0,335;1,18;0,61;0,00149;76,254;79,1380952380952;160,1;1,8;0,310600;4;0,00001820;0,299038000000000;0,310600;0;0;0;0;0;0;0;0;0;0;443400;1,459116044205903;68;303882,615615616;2018;2019;1;1;2;0,76679395276173790;-0,0953750801771960;1,52181357306091414;-0,28721742961636343;1,589210380444938453;0,268333256235464501;1,07774976367586328;-1,338313384431803;-0,61644222688857564;0,804747800909524247;0,941709656382030857;0,44950445191593852;3,384431781976424691;3,16306659282017355
