"fate","id","territory","Autumn","Spring","terrRug","humPop","fi","mean_fi","max_fi","mooseHunt","wolfNeighbour","AttackDogs_n","AttackDogs_last5y","AttackDogs_cumall","wolfLKill_n","wolfLKill_last5y","wolfLKill_cumall","sheepAttacks_n","NoAffectedSheep","NoAffectedSheep_last5y","NoAffectedSheep_cumall","IndividualIncome","bearDensity","KommunerNamn","NAME_1","NAME_2","first_yeardet","years_firstdet"
0,"M-02-06","Halgån 3",2008,2009,-0.290992262866526,-0.483352709000638,0.140900367284386,0.250605488940857,-0.0558283559261539,0.351110097488082,1.05729160050623,-0.559341656004787,16,16,-0.311706812883643,-0.553293032515316,-0.538284461078732,4.99774870295594,0.815026971390305,1.85929174098766,0.788017791469535,-0.862501933005568,-0.335571959423151,"torsby","Värmland","Torsby",2008,0
0,"M-00-08","Nyskoga 5",2008,2009,-0.44086429903991,-0.519409584502914,-0.274687251319341,-0.731139206783517,-0.527077777391757,0.635894950410761,1.05729160050623,-0.559341656004787,16,16,-0.311706812883643,-0.553293032515316,-0.538284461078732,4.99774870295594,0.815026971390305,1.85929174098766,0.788017791469535,-0.862501933005568,-0.398977367984077,"torsby","Värmland","Torsby",1999,9
1,"G14-06","Gräsmark 2",2008,2009,1.71498729822339,-0.257124395009495,2.08032895617343,1.92411574460483,2.14335795178551,0.635894950410761,-0.0816585637947769,-0.559341656004787,16,16,-0.311706812883643,-0.553293032515316,-0.538284461078732,4.99774870295594,0.815026971390305,1.85929174098766,0.788017791469535,-0.862501933005568,-0.515217215799667,"sunne","Värmland","Torsby",2008,0
0,"M-06-10","Gräsmark 3",2009,2010,1.32301428053915,-0.291636417234038,0.464140435639725,0.788641393778032,0.310704929446341,1.06307222979478,1.05729160050623,-0.559341656004787,9,16,-0.311706812883643,-0.553293032515316,-0.538284461078732,4.21755881765177,4.42298295809763,3.04685347383099,1.76548785848263,-0.745772725102997,-0.542318079194875,"torsby","Värmland","Torsby",2009,0
0,"M-05-10","Juvberget 1",2009,2010,-0.832837316724146,-0.449396833956078,-0.459394173059107,0.275061991670207,0.101259252736817,0.92067980333344,0.487816518355726,-0.559341656004787,9,16,-0.311706812883643,-0.553293032515316,-0.538284461078732,4.21755881765177,4.42298295809763,3.04685347383099,1.76548785848263,-0.745772725102997,-0.510880669510901,"torsby","Värmland","Torsby",2003,6
0,"G10-10","Trång 1",2009,2010,-0.244877790197792,-0.519409584502914,0.254904434692917,0.623563577959182,0.0734448668697919,1.20546465625612,2.19624176480723,-0.559341656004787,9,16,-0.311706812883643,-0.553293032515316,-0.538284461078732,4.21755881765177,4.42298295809763,3.04685347383099,1.76548785848263,-0.745772725102997,-0.48314718053945,"torsby","Värmland","Torsby",2009,0
1,"M-06-06","Juvberget 1",2009,2010,-0.832837316724146,-0.449396833956078,0.279433513899958,0.275061991670207,0.101259252736817,0.92067980333344,0.487816518355726,-0.559341656004787,9,16,-0.311706812883643,-0.553293032515316,-0.538284461078732,4.21755881765177,4.42298295809763,3.04685347383099,1.76548785848263,-0.745772725102997,-0.510880669510901,"torsby","Värmland","Torsby",2003,6
0,"M-06-10","Gräsmark 3",2010,2011,1.56511526205,-0.292408843872905,0.464140435639725,0.788641393778032,0.310704929446341,1.4902495091788,0.487816518355726,1.10310276448855,6,18,2.05908515080071,0.562574076931702,0.247646050519641,4.21755881765177,1.86249806430533,3.00444055480087,2.2184617919765,-0.75876877293497,-0.529563531286739,"torsby","Värmland","Torsby",2009,1
0,"G21-10","Hästberget",2010,2011,-0.47545015354146,-0.527133850891576,2.03415518104923,1.73894610325526,2.09099988373896,0.7782873768721,-0.0816585637947769,1.10310276448855,6,18,2.05908515080071,0.562574076931702,0.247646050519641,4.21755881765177,1.86249806430533,3.00444055480087,2.2184617919765,-0.75876877293497,-0.262442483537061,"torsby","Värmland","Torsby",2010,0
0,"G29-10","Juvberget 2",2010,2011,-0.832837316724146,-0.449396833956078,0.631529236397171,0.488179877508032,0.500512979507581,1.20546465625612,0.487816518355726,1.10310276448855,6,18,2.05908515080071,0.562574076931702,0.247646050519641,4.21755881765177,1.86249806430533,3.00444055480087,2.2184617919765,-0.75876877293497,-0.313399453339647,"torsby","Värmland","Torsby",2010,0
0,"G10-10","Trång 1",2010,2011,-0.556150480711744,-0.472044383007636,0.254904434692917,0.623563577959182,0.0734448668697919,1.63264193564014,0.487816518355726,1.10310276448855,6,18,2.05908515080071,0.562574076931702,0.247646050519641,4.21755881765177,1.86249806430533,3.00444055480087,2.2184617919765,-0.75876877293497,-0.424466056523697,"torsby","Värmland","Torsby",2009,1
0,"M-06-10","Gräsmark 4",2011,2012,1.44982908037817,-0.292439740938459,0.464140435639725,0.696060150707506,0.310704929446341,1.34785708271746,1.62676668265673,1.93432497473522,9,21,0.478557175011141,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.70755012159004,2.24230252531828,-0.800226753575431,-0.524359675740219,"torsby","Värmland","Torsby",2011,0
0,"M-06-05","Jangen 6",2011,2012,-0.463921535374277,-0.527133850891576,0.140900367284386,-1.37399176126442,-0.0558283559261539,0.635894950410761,1.05729160050623,1.93432497473522,9,21,0.478557175011141,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.70755012159004,2.24230252531828,-0.800226753575431,-0.247606393410317,"torsby","Värmland","Torsby",2011,0
0,"G29-10","Juvberget 2",2011,2012,-0.832837316724146,-0.449335039824969,0.631529236397171,0.488179877508032,0.500512979507581,1.06307222979478,1.05729160050623,1.93432497473522,9,21,0.478557175011141,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.70755012159004,2.24230252531828,-0.800226753575431,-0.314450428087277,"torsby","Värmland","Torsby",2010,1
0,"G78-11","Medskogen 1",2011,2012,-0.786722844055412,-0.444206126942897,1.11566824310771,1.36118686931844,1.04949523164445,0.92067980333344,1.05729160050623,1.93432497473522,9,21,0.478557175011141,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.70755012159004,2.24230252531828,-0.800226753575431,-0.39730397129853,"torsby","Värmland","Torsby",2011,0
0,"G10-10","Trång 1",2011,2012,-0.0373626631884909,-0.519409584502914,0.254904434692917,0.623563577959182,0.0734448668697919,1.4902495091788,1.05729160050623,1.93432497473522,9,21,0.478557175011141,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.70755012159004,2.24230252531828,-0.800226753575431,-0.452811763794738,"torsby","Värmland","Torsby",2009,2
0,"G33-11","Värnas",2011,2012,-0.348635353702443,-0.486442415556103,0.570921723580544,0.853274392360308,0.431787988500238,1.20546465625612,1.05729160050623,1.93432497473522,9,21,0.478557175011141,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.70755012159004,2.24230252531828,-0.800226753575431,-0.414262418197188,"torsby","Värmland","Torsby",2011,0
