"fate","id","Spring","terrRug","humPop","fi","mooseHunt","wolfNeighbour","dogattack","artificial_area_total","killedWolves","sheepAttacks","IncAvg1998_2021","bearDensity"
"0","G117-14",2016,0.19,3,0.296997,2.3,0,9,7e-05,42,3,233970.166666667,0.001830339
"1","G60-14",2016,0.199,42,0.324783,2.4,2,2,0.00799,1,12,257622.041666667,0
"0","G141-12",2016,0.152,22.133,0.306885,3,4,9,0.00043,15,4,236626.333333333,0.002290571
"1","G37-10",2016,0.21,35.225,0,2.3,1,13,0.01326,8,13,250727.041666667,0.002008521
"1","G42-14",2016,0.23,25.16,0.139008,2.5,3,4,0.00735,1,4,246940.25,0.001131869
"1","G108-14",2016,0.28,124.271,0.214912,2.2,0,2,0.01996,0,19,253651.25,0
"1","G63-15",2015,0.405,31.75,0.205933,2.6,2,3,0.0023,2,5,233443.666666667,0
"1","G30-12",2015,0.104,5.533,0.227051,2.2,1,21,0.00362,2,12,234002,0.003103357
"0","G12-13",2015,0.357,31.717,0.165527,2.6,4,2,0.00967,7,1,257676.416666667,3.31e-06
"0","G121-13",2015,0.412,30.633,0.165527,2.6,5,18,0.0041,9,18,241293.666666667,2.03e-05
"1","G88-13",2015,0.23,26.875,0.152161,2.5,3,5,0.00028,3,1,251995.666666667,8.94e-08
"1","G29-10",2015,0.19,5.171,0.311035,2.5,4,47,0.00061,16,44,233516.125,0.000439247
"0","G32-12",2015,0.326,8.671,0.305908,2.6,7,47,0.00056,16,44,233516.125,0.000225449
"1","G68-12",2015,0.177,21,0.248535,2.3,2,20,0,1,29,268843.666666667,0.002022388
"0","G48-13",2015,0.292,24.55,0.152161,3.3,1,2,0.00134,2,11,223990.041666667,0
"1","G1-15",2015,0.189,44.45,0.297363,2.4,2,5,0.0044,0,7,246666.708333333,2.38e-05
"1","G125-14",2015,0.172,2.499,0.299316,2.3,2,9,0.00197,4,0,243686.916666667,0.000740117
"0","G154-13",2015,0.235,12.275,0.152161,2.7,6,3,0.00264,12,11,250716.291666667,1.33e-05
"0","G107-11",2015,0.231,41.74,0.305908,2.7,5,8,0.00235,5,9,252556.375,2.54e-06
"0","G52-15",2015,0.267,12.433,0.336578,2.3,4,9,0.0078,16,11,251975.083333333,0.000243417
"0","G67-12",2015,0.259,20.367,0.248535,2.7,5,7,6e-04,6,3,232725.375,1.14e-05
"1","G54-15",2015,0.268,4.025,0.286682,2.3,2,20,0,0,18,243686.916666667,0.000519663
"1","G154-14",2015,0.33,9.26,0.293274,2.6,2,3,0.00031,2,8,227430.5,1.38e-07
"0","G62-14",2015,0.225,3.3,0.414307,2.3,0,9,0,42,3,233970.166666667,0.002818811
"1","G23-13",2015,0.219,15.95,NA,2.7,0,0,0.0042,0,7,251359.458333333,0
"1","G19-13",2015,0.37,27.243,0.277832,2.6,4,6,0.00252,3,3,253553.625,1.45e-05
"1","G106-13",2014,0.321,7.54,0.165527,2.7,2,7,0,8,8,228473.458333333,0.000374844
"1","G183-13",2014,0.178,11.95,0.414307,2.4,2,20,0,1,29,268843.666666667,0.002564909
