"mod_id","id","sex","Country_fatefile","territory","Revir_Vinter","Autumn","Spring","Fate","confirmed.illegal","Radio.collar","Comment","geometry","NAME_1","NAME_2","KommunerNamn","SLU.ID","ruggedness_mean","average_gravel_km","average_paved_km","artificial_area_total","pop_mean","mean_snow","hunt_afo","hunt_county2","Fi","number_neighbour_terr","bear_density_BZtiff","mean_fi","max_fi","wolfLKill_cumall","wolfLKill_last5y","wolfLKill_n","NoAffectedSheep_cumall","NoAffectedSheep_last5y","NoAffectedSheep","sheepAttacks_n","AttackDogs_cumall","AttackDogs_last5y","AttackDogs_n","IndividualIncome","income_prop","year_average","first_yeardet","last_yeardet","years_firstdet","time_start","time_end","Fate_binary","ruggedness_mean_sc","average_gravel_km_sc","average_paved_km_sc","artificial_area_total_sc","pop_mean_sc","mean_snow_sc","hunt_afo_sc","hunt_county2_sc","bear_density_BZtiff_sc","Fi_sc","mean_fi_sc","max_fi_sc","IndividualIncome_sc","income_prop_sc"
135,"M-15-01/G140-13","F","S","Aspafallet 3","Aspafallet_1819",2018,2019,NA,NA,1,NA,list(),"Orebro","Lindesberg","lindesberg","G140-13",0.237,1.18,0.37,0.00182,22.433,81.6354166666667,2,2.1,0.29248,5,6.1e-07,0.260825,0.29248,6,4,0,53,1,0,0,3,1,0,281852,0.935803852876955,301187.048048048,2017,2019,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"M-15-01/G140-13","F","S","Aspafallet 3","Aspafallet_1920",2019,2020,NA,NA,1,NA,list(),"Orebro","Lindesberg",NA,"G140-13",0.236,1.19,0.38,0.00131,22.4,65.09375,2.3,2.2,0.29248,4,4.84e-06,0.260825,0.29248,6,4,0,68,16,15,2,3,0,0,282049,0.928151152801603,303882.615615616,2017,2019,2,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1204,"G69-10","M","N","Aurskog 1","Aurskog_1011",2010,2011,NA,NA,0,NA,list(),"Akershus","Aurskog-Høland","aurskog-høland","G69-10",0.333,1.12,0.67,0.00149,135.265,81.7708333333333,NA,3.3,0.214844,1,0,0.235901,0.256958,0,0,0,0,0,0,0,0,0,0,325300,1.26382679710561,257392.864864865,2010,2011,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1085,"G69-10","M","N","Aurskog 1","Aurskog_1112",2011,2012,"illegal",NA,0,NA,list(),"Akershus","Aurskog-Høland","aurskog-høland","G69-10",0.291,1.49,0.47,0.00092,26.048,82.3939393939394,NA,3,0.214844,0,1.1e-06,0.235901,0.256958,0,0,0,0,0,0,0,0,0,0,337300,1.3064170161593,258187.084084084,2010,2011,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
956,"G111-10","M","N","Aurskog 3","Aurskog_1213",2012,2013,"illegal",NA,0,NA,list(),"Akershus","Aurskog-Høland","aurskog-høland","G111-10",0.314,1.43,0.51,0.00092,29.714,72.0220352564102,351.8,3,0.256958,2,0,0.255783,0.256958,0,0,0,0,0,0,0,0,0,0,352600,1.3298639352838,265139.906906907,2012,2012,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
547,"G107-16","M","N","Aurskog 4","Aurskog_1516",2015,2016,NA,NA,0,NA,list(),"Akershus","Aurskog-Høland","aurskog-høland","G107-16",0.339,1.13,0.67,0.00149,72.368,65.296875,233.4,2.4,0.3106,3,1.44e-05,0.301937,0.3106,0,0,0,0,0,0,0,0,0,0,392600,1.37111906773997,286335.453453453,2015,2016,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,"G107-16","M","N","Aurskog 4","Aurskog_1617",2016,2017,"illegal",NA,0,NA,list(),"Akershus","Aurskog-Høland","aurskog-høland","G107-16",0.353,1.06,0.7,0.00149,149.427,70.8352941176471,141.9,2.1,0.3106,3,7.4e-06,0.301937,0.3106,0,0,0,0,0,0,0,0,0,0,400700,1.36710630737643,293100.834834835,2015,2016,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,"G35-16","M","N","Aurskog 5","Aurskog_1819",2018,2019,NA,NA,0,NA,list(),"Akershus","Aurskog-Høland","aurskog-høland","G35-16",0.353,1.06,0.7,0.00149,153.698,82.0555555555556,140.7,2,0.3106,4,1.18e-06,0.299038,0.3106,0,0,0,0,0,0,0,0,0,0,424300,1.40875911746481,301187.048048048,2018,2019,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"G35-16","M","N","Aurskog 5","Aurskog_1920",2019,2020,NA,NA,0,NA,list(),"Akershus","Aurskog-Høland",NA,"G35-16",0.335,1.18,0.61,0.00149,76.254,79.1380952380952,160.1,1.8,0.3106,4,1.82e-05,0.299038,0.3106,0,0,0,0,0,0,0,0,0,0,443400,1.4591160442059,303882.615615616,2018,2019,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,"G73-15","F","S","Bertjärn","Berttjärn_1617",2016,2017,"illegal",NA,0,NA,c(13.1223600712804, 12.5825021065144, 60.0789792772721, 61.037308062458),"Värmland","Torsby","torsby","G73-15",0.225,0.69,0.25,0.00092,2.7,79.4823529411765,2,1.9,0.214912,2,0.000488,0.218647,0.222382,14,10,0,153,29,6,1,36,15,2,264141,0.901194976632687,293100.834834835,2016,2016,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,"G48-14","M","S","Billsjön","Billsjön_1617",2016,2017,"illegal",NA,0,NA,list(),"Dalarna","Smedjebacken","smedjebacken","G48-14",0.277,1.3,0.34,0.00293,18,66.9411764705882,2.3,2.3,0.205505,8,2.06e-05,0.178833,0.205505,1,1,0,4,4,0,0,1,0,0,284711,0.971375602394437,293100.834834835,2016,2016,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,"G183-13","M","S","Björnås 2","Björnås_1314",2013,2014,"illegal",NA,0,NA,c(16.1169140591165, 60.7266126048823),"Dalarna","Falun","falun","G183-13",0.178,1.1,0.2,0,11.95,80.265625,2.9,2.4,0.414307,2,0.00256491,0.414307,0.414307,0,0,0,109,59,1,1,14,8,1,280604,1.03219093215345,271852.804804805,2013,2013,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
819,"G113-12","F","S","Björnås 2/3/4","Björnås_1314",2013,2014,NA,NA,0,NA,c(16.1169140591165, 60.7266126048823),"Dalarna","Falun","falun","G113-12",0.178,1.1,0.2,0,11.95,80.265625,2.9,2.4,0,2,0.00256491,0,0,0,0,0,109,59,1,1,14,8,1,280604,1.03219093215345,271852.804804805,2013,2013,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,"G113-12","F","S","Björnås 4","Björnås_1718",2017,2018,NA,NA,0,NA,c(16.3210809454011, 61.1855333035311),"Gävleborg","Bollnäs","bollnäs","G113-12",0.204,1.16,0.17,0,13.775,81.8823529411765,2.4,2.8,0,1,0.00224688,0.069504,0.139008,10,6,6,57,0,0,0,13,5,1,268696,0.90275966038125,297638.465465465,2017,2019,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,"G113-12","F","S","Björnås 4","Björnås_1819",2018,2019,NA,NA,0,NA,list(),"Gävleborg","Bollnäs","bollnäs","G113-12",0.198,1.12,0.18,0,13.875,83.1515151515152,2.6,2.9,0,1,0.00365482,0.069504,0.139008,10,6,0,57,0,0,0,13,5,0,270087,0.89674174819401,301187.048048048,2017,2019,1,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"G22-14","M","S","Björnås 4","Björnås_1920",2019,2020,NA,NA,0,NA,c(15.8246297317034, 60.9015612619864),"Dalarna","Falun",NA,"G22-14",0.179,1.15,0.16,0,13.9,86.7916666666667,2.4,2.5,0.139008,3,0.00292842,0.069504,0.139008,0,0,0,122,13,5,1,16,2,1,309927,1.01989052375418,303882.615615616,2017,2019,2,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,"G71-17","M","S","Blåbärskullen","Blåbärskullen_1819",2018,2019,NA,NA,0,NA,list(),"Värmland","Sunne","arvika","G71-17",0.423,1.21,0.33,0.00434,19.8,81.96875,2.1,2.3,0.228912,3,2.18e-05,0.1905365,0.228912,8,4,0,45,32,0,0,16,6,0,284696,0.945246489997082,301187.048048048,2018,2018,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1428,"D-11-29","M","S","Bogen 2","Bogen_0809",2008,2009,NA,NA,0,NA,c(12.6244067120794, 59.7926579074265),"Värmland","Arvika","arvika","D-11-29",0.414,1.13,0.39,0.00554,12.233,70.2843137254902,NA,3.2,0.267578,1,3.49e-05,0.2910155,0.314453,1,1,1,0,0,0,0,6,5,1,240468,0.945771213581224,254255.993993994,2008,2008,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,"G166-16","F","S","Bograngen 3","Bograngen_1718",2017,2018,NA,NA,0,NA,c(12.5971694120594, 13.3763878520525, 13.1570589260582, 12.9611849676057, 60.6348113567009, 60.3028640762702, 60.1614536131388, 60.0735432252356),"Värmland","Torsby","torsby","G166-16",0.197,1.29,0.27,0.00061,5.083,83.4509803921569,74.5,1.9,0.224609,4,0.00037703,0.195068,0.224609,14,10,0,153,25,0,0,40,19,4,269034,0.903895266289819,297638.465465465,2017,2018,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,"G166-16","F","S","Bograngen 3","Bograngen_1819",2018,2019,"illegal",NA,0,NA,c(13.4585531237184, 12.6659864909767, 60.4616079166848, 60.8295690382981),"Värmland","Torsby","torsby","G166-16",0.208,1.24,0.28,0.00034,5.004,83.7447916666667,58.8,2.2,0.224609,3,0.00040539,0.195068,0.224609,16,12,2,153,24,0,0,42,16,2,271509,0.901463066754074,301187.048048048,2017,2018,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,"G31-17","M","N","Boksjö 1","Boksjö_1617",2016,2017,NA,NA,0,NA,list(),"Västra Götaland","Dals-Ed","dals-ed","G31-17",0.398,1.19,0.38,0.00164,19.439,65.6,60.2,2.9,0.231424,0,0,0.1705675,0.231424,1,0,0,92,34,0,0,7,2,0,256067,0.87364814277754,293100.834834835,2016,2017,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
