"";"mod_id";"id";"sex";"Country_fatefile";"territory";"Revir_Vinter";"Autumn";"Spring";"Fate";"Fate_binary";"confirmed.illegal";"Radio.collar";"Comment";"geometry";"NAME_1";"NAME_2";"KommunerNamn";"SLU.ID";"ruggedness_mean";"average_gravel_km";"average_paved_km";"artificial_area_total";"pop_mean";"mean_snow";"hunt_afo";"hunt_county2";"Fi";"number_neighbour_terr";"bear_density_BZtiff";"mean_fi";"max_fi";"wolfLKill_cumall";"wolfLKill_last5y";"wolfLKill_n";"NoAffectedSheep_cumall";"NoAffectedSheep_last5y";"NoAffectedSheep";"sheepAttacks_n";"AttackDogs_cumall";"AttackDogs_last5y";"AttackDogs_n";"IndividualIncome";"income_prop";"year_average";"first_yeardet";"last_yeardet";"years_firstdet";"time_start";"time_end";"ruggedness_mean_sc";"average_gravel_km_sc";"average_paved_km_sc";"artificial_area_total_sc";"pop_mean_sc";"mean_snow_sc";"hunt_afo_sc";"hunt_county2_sc";"bear_density_BZtiff_sc";"Fi_sc";"mean_fi_sc";"max_fi_sc";"IndividualIncome_sc";"income_prop_sc"
"592";119;"G147-15";"F";"S";"Vidaln 2";"Vidaln_1920";2019;2020;NA;0;NA;0;NA;"list()";"Orebro";"Lindesberg";NA;"G147-15";0,21;1,43;0,52;0,00632;52;51,765625;2,1;2,1;0,319611;2;1,8e-07;0,2709965;0,319611;6;4;0;68;16;15;2;3;0;0;282049;0,928151152801603;303882,615615616;2019;2019;0;0;1;-0,677321761704701;0,930610199208861;1,03008788101607;0,58290355869912;0,890989890618338;-2,83815241162469;-0,449603192286468;-0,88080689199026;-0,634659323478408;0,899816694390757;0,545519463520559;0,568461829987583;0,242016427848999;-0,379267580883779
"593";1186;"G23-11";"F";"S";"Villingsberg 1";"Villingsberg_1112";2011;2012;NA;0;NA;0;NA;"c(14.4743693863434, 59.4799656568693)";"Orebro";"Karlskoga";"karlskoga";"G23-11";0,198;1,34;0,53;0,01549;44,12;76,6111111111111;NA;3,5;0,262024;3;0;0,2796935;0,297363;0;0;0;29;0;0;0;2;1;1;250813;0,971438989249816;258187,084084084;2011;2013;0;0;1;-0,81595687029348;0,561255498629881;1,08472406902105;2,23487239158794;0,664141640439662;-0,0184526971368053;NA;1,25422340607027;-0,634841292256775;0,292255672428292;0,668396845519248;0,274758162543576;-0,366324927342629;-0,0904726250616352
"594";1065;"G23-11";"F";"S";"Villingsberg 1";"Villingsberg_1213";2012;2013;NA;0;NA;0;NA;"list()";"Orebro";"Karlskoga";"karlskoga";"G23-11";0,196;1,32;0,52;0,01521;44,26;57,0637254901961;3,1;3,3;0,262024;3;0;0,2796935;0,297363;0;0;0;29;0;0;0;2;1;0;259658;0,979324474497792;265139,906906907;2011;2013;1;1;2;-0,839062721724943;0,479176676278997;1,03008788101607;2,18443059516385;0,668171939300705;-2,23687407990981;-0,439936401425947;0,949219077775911;-0,634841292256775;0,292255672428292;0,668396845519248;0,274758162543576;-0,194062816743642;-0,037864582002021
"595";932;"G23-11";"F";"S";"Villingsberg 1";"Villingsberg_1314";2013;2014;"illegal";1;NA;0;NA;"list()";"Orebro";"Karlskoga";"karlskoga";"G23-11";0,199;1,31;0,51;0,01519;38,367;75,453125;2,7;2,9;0,262024;3;9,91e-06;0,2796935;0,297363;0;0;0;29;0;0;0;2;1;0;263756;0,970216217520292;271852,804804805;2011;2013;2;2;3;-0,804403944577748;0,438137265103554;0,975451693011084;2,18082760970499;0,498525145099824;-0,149871864879339;-0,443803117770156;0,339210421187188;-0,624822900070025;0,292255672428292;0,668396845519248;0,274758162543576;-0,114251609368329;-0,0986303510323247
"596";667;"G60-14";"M";"S";"Villingsberg 3";"Villingsberg_1516";2015;2016;"illegal";1;NA;0;NA;"list()";"Orebro";"Örebro";"örebro";"G60-14";0,199;1,27;0,51;0,00799;42;61,1960784313725;2,5;2,4;0,324783;2;0;0,322197;0,324783;1;1;0;100;85;0;0;1;1;0;275849;0,963377034429451;286335,453453453;2015;2015;0;0;1;-0,804403944577748;0,273979620401785;0,975451693011084;0,883752844514205;0,603111400543876;-1,76789575699475;-0,44573647594226;-0,423300399548717;-0,634841292256775;0,954382926449901;1,26891642764886;0,636739219776346;0,121267407417827;-0,144257985505162
"597";534;"G166-14";"M";"S";"Villingsberg 4";"Villingsberg_1617";2016;2017;NA;0;NA;0;NA;"list()";"Orebro";"Nora";"örebro";"G166-14";0,203;1,26;0,49;0,01267;39,65;63,54375;2,5;2,4;0,157578;2;0;0,2385945;0,319611;5;5;0;72;38;8;1;7;2;0;275287;0,939222845117882;293100,834834835;2016;2019;0;0;1;-0,758192241714822;0,232940209226343;0,866179317001118;1,72685144188821;0,535459955376378;-1,50145988119154;-0,44573647594226;-0,423300399548717;-0,634841292256775;-0,809682586204589;0,0877210351519855;0,568461829987583;0,110322092985194;-0,305402745962279
"598";385;"G166-14";"M";"S";"Villingsberg 4";"Villingsberg_1718";2017;2018;NA;0;NA;0;NA;"list()";"Orebro";"Örebro";"örebro";"G166-14";0,208;1,3;0,5;0,01486;40,217;63,2878787878788;2,6;2,3;0,157578;6;0;0,2385945;0,319611;1;0;0;100;37;0;0;1;0;0;286883;0,963863993692329;297638,465465465;2016;2019;1;1;2;-0,700427613136165;0,397097853928112;0,920815505006101;2,12137834963374;0,5517826657636;-1,53049855568305;-0,444769796856208;-0,575802563695898;-0,634841292256775;-0,809682586204589;0,0877210351519855;0,568461829987583;0,3361617124884;-0,141009235039695
"599";249;"G166-14";"M";"S";"Villingsberg 4";"Villingsberg_1819";2018;2019;NA;0;NA;0;NA;"list()";"Orebro";"Nora";"nora";"G166-14";0,208;1,29;0,48;0,01228;43,74;81,0117669753086;2,4;2,3;0,157578;5;0;0,2385945;0,319611;5;5;0;72;8;0;0;7;2;0;281589;0,934930641357056;301187,048048048;2016;2019;2;2;3;-0,700427613136165;0,35605844275267;0,811543128996134;1,65659322544038;0,653202257816833;0,480975167882424;-0,446703155028312;-0,575802563695898;-0,634841292256775;-0,809682586204589;0,0877210351519855;0,568461829987583;0,233057629558944;-0,334038198717473
"600";121;"G166-14";"M";"S";"Villingsberg 4";"Villingsberg_1920";2019;2020;"illegal";1;NA;0;NA;"c(14.9221798259723, 59.6939506868573)";"Orebro";"Nora";NA;"G166-14";0,208;1,28;0,48;0,01056;44,1;65,4010416666667;2,6;2,3;0,157578;3;0;0,2385945;0,319611;5;5;0;72;8;0;0;8;2;1;284630;0,936644563965553;303882,615615616;2016;2019;3;3;4;-0,700427613136165;0,315019031577227;0,811543128996134;1,34673647597814;0,663565883459513;-1,2906769341886;-0,444769796856208;-0,575802563695898;-0,634841292256775;-0,809682586204589;0,0877210351519855;0,568461829987583;0,292283076515588;-0,322603757899541
"601";806;"G24-12";"M";"S";"Vimyren 1";"Vimyren_1415";2014;2015;NA;0;NA;0;NA;"c(13.5171072597438, 13.4142459329614, 60.1046117316642, 60.0736537082706)";"Värmland";"Hagfors";"torsby";"G24-12";0,38;1,2;0,29;0,00271;6,533;72,9163306451613;2,2;2,6;0,165527;6;0,00022414;0,2313535;0,29718;3;2;0;22;0;0;0;14;6;3;249049;0,900825843841172;276467,423423423;2014;2016;0;0;1;1,28667560996966;-0,0132962578263114;-0,226544443098544;-0,0674353166257029;-0,417907240203218;-0,437771175283827;-0,448636513200416;-0,118296071254355;-0,408249725683801;-0,725818127844548;-0,0145849465718847;0,272342315225065;-0,400679971220143;-0,561568477429968
"602";669;"G24-12";"M";"S";"Vimyren 1";"Vimyren_1516";2015;2016;NA;0;NA;0;NA;"c(13.043062845678, 12.8947971939656, 60.6235919426597, 60.3628458661674)";"Värmland";"Torsby";"torsby";"G24-12";0,372;1,16;0,28;0,00267;6,567;73,6145833333333;1,9;1,9;0,165527;2;0,00013308;0,2313535;0,29718;14;11;10;147;24;0;0;34;16;2;260296;0,909059625207444;286335,453453453;2014;2016;1;1;2;1,1942522042438;-0,177453902528081;-0,281180631103526;-0,0746412875434295;-0,416928453336965;-0,358526885328135;-0,451536550458573;-1,18581122028462;-0,500305708784251;-0,725818127844548;-0,0145849465718847;0,272342315225065;-0,181637353028306;-0,506636775570334
